sample	target	var	sub	vsrat	call	mash	meandepth	cov10pc	pairatio
Yale-RSV-0020	RSVA	31	628	0.0493630573248408	RSVA	RSVA	151264	0.989094731309946	0.905801158974826
Yale-RSV-0053	RSVA	32	613	0.0522022838499184	RSVA	RSVA	98546	0.979569044803574	0.904362634611951
Yale-RSV-0097	RSVA	37	612	0.0604575163398693	RSVA	RSVA	128948	0.99178820128761	0.911737475512062
Yale-RSV-0133	RSVA	45	559	0.0805008944543828	RSVA	RSVA	171203	0.945867822887925	0.929267379941519
Yale-RSV-0160	RSVA	32	591	0.0541455160744501	RSVA	RSVA	90912	0.986204178163185	0.913003201154511
Yale-RSV-0221	RSVA	35	597	0.0586264656616415	RSVA	RSVA	166825	0.983050847457627	0.921154979784539
Yale-RSV-0254	RSVA	28	566	0.049469964664311	RSVA	RSVA	502723	0.972276967546971	0.905474783678953
Yale-RSV-0292	RSVA	34	622	0.0546623794212219	RSVA	RSVA	904522	0.974707659965839	0.905630906832418
Yale-RSV-0330	RSVA	28	648	0.0432098765432099	RSVA	RSVA	414737	0.990934174221522	0.925629064239384
Yale-RSV-0373	RSVA	31	611	0.0507364975450082	RSVA	RSVA	906518	0.976350019708317	0.904435747031603
Yale-RSV-0418	RSVB	25	279	0.0896057347670251	RSVB	RSVB	1010432	0.98128078817734	0.912793053078368
Yale-RSV-0450	RSVB	18	252	0.0714285714285714	RSVB	RSVB	492610	0.982528735632184	0.940159648336893
Yale-RSV-0427	RSVB	19	278	0.0683453237410072	RSVB	RSVB	587469	0.984827586206897	0.961400243169401
Yale-RSV-0209	RSVB	26	362	0.0718232044198895	RSVB	RSVB	480154	0.946600985221675	0.947293695197672
Yale-RSV-0229	RSVB	28	377	0.0742705570291777	RSVB	RSVB	179626	0.989885057471264	0.912690390424826
Yale-RSV-0014	RSVB	23	410	0.0560975609756098	RSVB	RSVB	147363	0.99448275862069	0.934086886525935
Yale-RSV-0283	RSVB	20	372	0.0537634408602151	RSVB	RSVB	203501	0.963021346469622	0.950751208271563
Yale-RSV-0392	RSVB	22	264	0.0833333333333333	RSVB	RSVB	1017651	0.968604269293925	0.950731282864345
Yale-RSV-0173	RSVB	28	428	0.0654205607476635	RSVB	RSVB	532757	0.997963875205255	0.954138330837238
Yale-RSV-0101	RSVB	35	422	0.0829383886255924	RSVB	RSVB	197643	0.99448275862069	0.943787973375226
