sample	target	n	MAFmean	MAFstd
Yale-RSV-0001	RSVA	147	0.2704502380952381	0.134111946606431
Yale-RSV-0001	RSVB	209	0.23614171291866026	0.1269804551615806
Yale-RSV-0002	RSVA	171	0.2922265029239766	0.12793536948904521
Yale-RSV-0002	RSVB	190	0.3066422315789474	0.13049041154913854
Yale-RSV-0003	RSVA	218	0.28095161009174313	0.11985670217834493
Yale-RSV-0003	RSVB	237	0.2818055189873418	0.11647485625871358
Yale-RSV-0004	RSVB	32	0.2541899375	0.12246328660089414
Yale-RSV-0005	RSVB	29	0.24177475862068964	0.1564561022415496
Yale-RSV-0006	RSVA	327	0.27335933027522935	0.1285974454555066
Yale-RSV-0006	RSVB	233	0.3249480600858369	0.11378995370746209
Yale-RSV-0007	RSVA	348	0.30327641379310344	0.1302330511682609
Yale-RSV-0007	RSVB	300	0.3182902633333333	0.1163416409712372
Yale-RSV-0008	RSVA	131	0.2668281221374046	0.1390569748294685
Yale-RSV-0008	RSVB	199	0.2757793366834171	0.14064215868320898
Yale-RSV-0009	RSVB	22	0.2442071363636364	0.13286475531560563
Yale-RSV-0010	RSVB	4	0.2649975	0.06014093475329428
Yale-RSV-0011	RSVB	22	0.23399331818181815	0.14077364903695455
Yale-RSV-0012	RSVB	21	0.22218166666666667	0.12392251858574106
Yale-RSV-0013	RSVB	30	0.21349723333333334	0.15207867473816342
Yale-RSV-0014	RSVB	23	0.18639904347826086	0.11774970455916547
Yale-RSV-0015	RSVB	21	0.254681	0.14062152652101312
Yale-RSV-0016	RSVB	28	0.2176135357142857	0.15278009201305384
Yale-RSV-0017	RSVB	20	0.2677839	0.15843335321795157
Yale-RSV-0018	RSVB	24	0.24503741666666667	0.1257623789004025
Yale-RSV-0019	RSVB	1	0.066384	
Yale-RSV-0020	RSVA	31	0.1994864516129032	0.11879694143140182
Yale-RSV-0021	RSVB	3	0.20597866666666664	0.0970773209628971
Yale-RSV-0022	RSVB	26	0.23123792307692306	0.11213193974775362
Yale-RSV-0023	RSVB	26	0.22300361538461538	0.12070630031247812
Yale-RSV-0024	RSVB	22	0.25019427272727274	0.1592419224738265
Yale-RSV-0025	RSVB	22	0.18756854545454546	0.12893364453958378
Yale-RSV-0026	RSVA	382	0.25847077486910996	0.12222237065149306
Yale-RSV-0026	RSVB	897	0.292770994425864	0.12447114714154042
Yale-RSV-0027	RSVB	20	0.20661290000000002	0.1379824832806877
Yale-RSV-0028	RSVB	32	0.19759403125	0.136351998677163
Yale-RSV-0029	RSVA	110	0.17711011818181815	0.11669814958909167
Yale-RSV-0029	RSVB	25	0.17849988	0.1265242720354873
Yale-RSV-0030	RSVA	41	0.21320824390243903	0.13306961244603904
Yale-RSV-0031	RSVB	21	0.22596033333333335	0.1429662705617424
Yale-RSV-0033	RSVB	23	0.23223608695652173	0.14244333656641828
Yale-RSV-0034	RSVB	17	0.19090535294117644	0.12838315468352007
Yale-RSV-0035	RSVB	19	0.24407942105263156	0.14474825649739304
Yale-RSV-0036	RSVB	25	0.2248012	0.14855794153460797
Yale-RSV-0037	RSVA	21	0.20818609523809525	0.11151651921392845
Yale-RSV-0038	RSVB	34	0.21546082352941176	0.13943281315896364
Yale-RSV-0039	RSVB	19	0.22155426315789475	0.11923283437498905
Yale-RSV-0040	RSVB	35	0.2254411142857143	0.1503511289352501
Yale-RSV-0041	RSVB	19	0.251756947368421	0.1522279879119451
Yale-RSV-0042	RSVB	29	0.21719455172413793	0.1351790119916619
Yale-RSV-0043	RSVA	27	0.24398537037037038	0.13921625115325165
Yale-RSV-0044	RSVA	98	0.19184433673469387	0.11881180565546612
Yale-RSV-0044	RSVB	23	0.21430669565217392	0.12649952180773247
Yale-RSV-0045	RSVB	31	0.2264344516129032	0.1316095697214147
Yale-RSV-0047	RSVA	456	0.22110695614035086	0.12130135612197848
Yale-RSV-0047	RSVB	92	0.20374534782608697	0.10242926399543693
Yale-RSV-0048	RSVB	34	0.21231220588235294	0.13710150595105525
Yale-RSV-0049	RSVB	20	0.23266105	0.14701419769835872
Yale-RSV-0050	RSVB	6	0.31897233333333336	0.12348960275370012
Yale-RSV-0051	RSVA	61	0.16333296721311474	0.13014467666882207
Yale-RSV-0051	RSVB	25	0.24640248	0.13792856565903958
Yale-RSV-0052	RSVB	23	0.23938691304347828	0.15759012458155003
Yale-RSV-0053	RSVA	32	0.26336778125	0.11758385326492758
Yale-RSV-0054	RSVB	19	0.23635884210526314	0.1407805425761289
Yale-RSV-0055	RSVA	30	0.23261536666666668	0.13683164448063437
Yale-RSV-0056	RSVB	22	0.220371	0.14342921508435544
Yale-RSV-0057	RSVB	21	0.2299880952380952	0.1384519581973851
Yale-RSV-0058	RSVB	28	0.21276464285714286	0.1325315798098882
Yale-RSV-0059	RSVB	29	0.21867662068965518	0.12519003513470853
Yale-RSV-0060	RSVB	30	0.24280346666666666	0.14114454311797395
Yale-RSV-0061	RSVA	35	0.24384308571428573	0.12697394548497679
Yale-RSV-0063	RSVB	52	0.19742475	0.12010779999272791
Yale-RSV-0064	RSVB	25	0.20451432	0.12445815483685004
Yale-RSV-0065	RSVB	20	0.2401284	0.1371745317755143
Yale-RSV-0066	RSVB	29	0.23685610344827587	0.13788524643530442
Yale-RSV-0067	RSVB	32	0.168078125	0.10986793442796557
Yale-RSV-0068	RSVB	25	0.21109168	0.14696892061014122
Yale-RSV-0070	RSVA	56	0.1455319107142857	0.10738824269812726
