sample	target	n	MAFmean	MAFstd
Yale-RSV-0001	RSVA	536	0.07741884701492537	0.13809759103753075
Yale-RSV-0001	RSVB	621	0.084792346215781	0.1309563164772067
Yale-RSV-0002	RSVA	868	0.06104461290322581	0.1280286654336157
Yale-RSV-0002	RSVB	727	0.08339082118294361	0.14882888574327593
Yale-RSV-0003	RSVA	890	0.07165546853932585	0.13334960373027338
Yale-RSV-0003	RSVB	773	0.08920172574385511	0.14360573482765582
Yale-RSV-0004	RSVB	426	0.021492683098591547	0.07442980250315956
Yale-RSV-0005	RSVB	373	0.021739801608579086	0.07731476759283215
Yale-RSV-0006	RSVA	1007	0.0921684965243297	0.14567603074684182
Yale-RSV-0006	RSVB	734	0.10729222070844686	0.16196608938819773
Yale-RSV-0007	RSVA	988	0.10920757085020243	0.16278501572249535
Yale-RSV-0007	RSVB	699	0.13828870100143062	0.17383457962643795
Yale-RSV-0008	RSVA	570	0.06350593859649123	0.12967114211017092
Yale-RSV-0008	RSVB	715	0.08010481678321678	0.14260141170595325
Yale-RSV-0009	RSVB	420	0.015109302380952384	0.061821388481626424
Yale-RSV-0010	RSVB	110	0.013807481818181816	0.050734825484383586
Yale-RSV-0011	RSVB	446	0.013697255605381166	0.05905502005830943
Yale-RSV-0012	RSVB	410	0.013906399999999998	0.05599959525339239
Yale-RSV-0013	RSVB	412	0.017482371359223297	0.06840161489713326
Yale-RSV-0014	RSVB	433	0.012487743648960742	0.049525503669371876
Yale-RSV-0015	RSVB	440	0.01465420909090909	0.061888121116290974
Yale-RSV-0016	RSVB	409	0.01729366014669927	0.06735752020328309
Yale-RSV-0017	RSVB	414	0.015316413043478262	0.06656467810713838
Yale-RSV-0018	RSVB	420	0.016178873809523812	0.063849206426616
Yale-RSV-0019	RSVB	25	0.00395836000000001	0.0134486972258778
Yale-RSV-0020	RSVA	659	0.011999121396054628	0.04920126618385613
Yale-RSV-0021	RSVB	47	0.015408808510638293	0.054571120291357765
Yale-RSV-0022	RSVB	456	0.015317561403508772	0.05950726905207285
Yale-RSV-0023	RSVB	471	0.014236384288747345	0.05784342758151127
Yale-RSV-0024	RSVB	407	0.01577982800982801	0.06695465473420248
Yale-RSV-0025	RSVB	437	0.0119835057208238	0.049834456811804435
Yale-RSV-0026	RSVA	886	0.11485934875846501	0.14880540386218064
Yale-RSV-0026	RSVB	1183	0.22370404818258663	0.16355961632146113
Yale-RSV-0027	RSVB	429	0.012100559440559445	0.05230617261674252
Yale-RSV-0028	RSVB	427	0.016843843091334895	0.06352057971459434
Yale-RSV-0029	RSVA	893	0.025630914893617022	0.07040485007308353
