sample	call	mashcall
Yale-RSV-0003	RSVB	
Yale-RSV-0047	RSVB	
Yale-RSV-0108	RSVB	
Yale-RSV-0109	RSVB	
Yale-RSV-0175	RSVB	
Yale-RSV-0345	RSVB	
Yale-RSV-0354	RSVB	
Yale-RSV-0377	RSVB	
Yale-RSV-0216	RSVA	
Yale-RSV-0002	RSVA/B	
Yale-RSV-0006	RSVA/B	
Yale-RSV-0007	RSVA/B	
Yale-RSV-0008	RSVA/B	
Yale-RSV-0026	RSVA/B	
Yale-RSV-0244	RSVA/B	
Yale-RSV-0258	RSVA/B	
Yale-RSV-0001		RSVA
Yale-RSV-0020		RSVA
Yale-RSV-0030		RSVA
Yale-RSV-0037		RSVA
Yale-RSV-0043		RSVA
Yale-RSV-0053		RSVA
Yale-RSV-0055		RSVA
Yale-RSV-0061		RSVA
Yale-RSV-0075		RSVA
Yale-RSV-0076		RSVA
Yale-RSV-0085		RSVA
Yale-RSV-0097		RSVA
Yale-RSV-0118		RSVA
Yale-RSV-0121		RSVA
Yale-RSV-0133		RSVA
Yale-RSV-0136		RSVA
Yale-RSV-0140		RSVA
Yale-RSV-0142		RSVA
Yale-RSV-0147		RSVA
Yale-RSV-0160		RSVA
Yale-RSV-0161		RSVA
Yale-RSV-0179		RSVA
Yale-RSV-0184		RSVA
Yale-RSV-0187		RSVA
Yale-RSV-0189		RSVA
Yale-RSV-0208		RSVA
Yale-RSV-0221		RSVA
Yale-RSV-0228		RSVA
Yale-RSV-0231		RSVA
Yale-RSV-0237		RSVA
Yale-RSV-0251		RSVA
Yale-RSV-0252		RSVA
Yale-RSV-0254		RSVA
Yale-RSV-0259		RSVA
Yale-RSV-0262		RSVA
Yale-RSV-0277		RSVA
Yale-RSV-0292		RSVA
Yale-RSV-0294		RSVA
Yale-RSV-0297		RSVA
Yale-RSV-0307		RSVA
Yale-RSV-0311		RSVA
Yale-RSV-0314		RSVA
Yale-RSV-0330		RSVA
Yale-RSV-0346		RSVA
Yale-RSV-0361		RSVA
Yale-RSV-0367		RSVA
Yale-RSV-0373		RSVA
Yale-RSV-0419		RSVA
Yale-RSV-0462		RSVA
Yale-RSV-0469		RSVA
Yale-RSV-0489		RSVA
Yale-RSV-0491		RSVA
Yale-RSV-0498		RSVA
Yale-RSV-0509		RSVA
Yale-RSV-0512		RSVA
Yale-RSV-0515		RSVA
Yale-RSV-0516		RSVA
Yale-RSV-0526		RSVA
Yale-RSV-0530		RSVA
Yale-RSV-0533		RSVA
Yale-RSV-0540		RSVA
Yale-RSV-0553		RSVA
Yale-RSV-0555		RSVA
Yale-RSV-0557		RSVA
Yale-RSV-0559		RSVA
Yale-RSV-0565		RSVA
Yale-RSV-0566		RSVA
Yale-RSV-0571		RSVA
Yale-RSV-0573		RSVA
Yale-RSV-0574		RSVA
Yale-RSV-0575		RSVA
Yale-RSV-0004		RSVB
Yale-RSV-0005		RSVB
Yale-RSV-0009		RSVB
Yale-RSV-0011		RSVB
Yale-RSV-0012		RSVB
Yale-RSV-0013		RSVB
Yale-RSV-0014		RSVB
Yale-RSV-0015		RSVB
Yale-RSV-0016		RSVB
Yale-RSV-0017		RSVB
Yale-RSV-0018		RSVB
Yale-RSV-0022		RSVB
Yale-RSV-0023		RSVB
Yale-RSV-0024		RSVB
Yale-RSV-0025		RSVB
Yale-RSV-0027		RSVB
Yale-RSV-0028		RSVB
Yale-RSV-0029		RSVB
Yale-RSV-0031		RSVB
Yale-RSV-0033		RSVB
Yale-RSV-0034		RSVB
Yale-RSV-0035		RSVB
Yale-RSV-0036		RSVB
Yale-RSV-0038		RSVB
Yale-RSV-0039		RSVB
Yale-RSV-0040		RSVB
Yale-RSV-0041		RSVB
Yale-RSV-0042		RSVB
Yale-RSV-0044		RSVB
Yale-RSV-0045		RSVB
Yale-RSV-0048		RSVB
Yale-RSV-0049		RSVB
Yale-RSV-0051		RSVB
Yale-RSV-0052		RSVB
Yale-RSV-0054		RSVB
Yale-RSV-0056		RSVB
Yale-RSV-0057		RSVB
Yale-RSV-0058		RSVB
Yale-RSV-0059		RSVB
Yale-RSV-0060		RSVB
Yale-RSV-0063		RSVB
Yale-RSV-0064		RSVB
Yale-RSV-0065		RSVB
Yale-RSV-0066		RSVB
Yale-RSV-0067		RSVB
Yale-RSV-0068		RSVB
Yale-RSV-0070		RSVB
Yale-RSV-0071		RSVB
Yale-RSV-0073		RSVB
Yale-RSV-0074		RSVB
Yale-RSV-0079		RSVB
Yale-RSV-0080		RSVB
Yale-RSV-0081		RSVB
Yale-RSV-0082		RSVB
Yale-RSV-0083		RSVB
Yale-RSV-0084		RSVB
Yale-RSV-0086		RSVB
Yale-RSV-0087		RSVB
Yale-RSV-0089		RSVB
Yale-RSV-0090		RSVB
Yale-RSV-0091		RSVB
Yale-RSV-0092		RSVB
Yale-RSV-0094		RSVB
Yale-RSV-0095		RSVB
Yale-RSV-0096		RSVB
Yale-RSV-0099		RSVB
Yale-RSV-0100		RSVB
Yale-RSV-0101		RSVB
Yale-RSV-0107		RSVB
Yale-RSV-0110		RSVB
Yale-RSV-0112		RSVB
Yale-RSV-0114		RSVB
Yale-RSV-0115		RSVB
Yale-RSV-0116		RSVB
Yale-RSV-0117		RSVB
Yale-RSV-0122		RSVB
Yale-RSV-0123		RSVB
Yale-RSV-0124		RSVB
Yale-RSV-0125		RSVB
Yale-RSV-0126		RSVB
Yale-RSV-0127		RSVB
Yale-RSV-0128		RSVB
Yale-RSV-0129		RSVB
Yale-RSV-0130		RSVB
Yale-RSV-0137		RSVB
Yale-RSV-0138		RSVB
Yale-RSV-0139		RSVB
Yale-RSV-0141		RSVB
Yale-RSV-0145		RSVB
Yale-RSV-0146		RSVB
Yale-RSV-0149		RSVB
Yale-RSV-0150		RSVB
Yale-RSV-0152		RSVB
