strain	date	agecat	country	region	accession
hRSV/A/Germany/BE-00-02321/2000	2000-02-23	Infants	Germany	Berlin	
hRSV/A/Netherlands/02-017863/2002	2002-06-29		Netherlands		
hRSV/A/Germany/RP-08-02984/2008	2008-04-02	Infants	Germany	Rhineland Palatinate	
hRSV/A/Germany/BB-01-01609/2001	2001-02-05	Preschool	Germany	Brandenburg	
hRSV/A/Germany/BE-02-00980/2002	2002-01-29	Newborns	Germany	Berlin	
hRSV/A/Germany/BE-03-01038/2003	2003-02-04	Newborns	Germany	Berlin	
hRSV/A/Germany/RP-06-01417/2006	2006-02-10	Infants	Germany	Rhineland Palatinate	
hRSV/A/Germany/RP-07-02759/2007	2007-03-05	Infants	Germany	Rhineland Palatinate	
hRSV/A/Italy/ITA-119/2009	2009-02-26	Children	Italy	Pavia	
hRSV/A/Argentina/170/2005	2005-06-21		Argentina		
hRSV/A/Germany/BY-05-01521/2005	2005-02-03	Preschool	Germany	Bavaria	
hRSV/A/Germany/BE-04-01144/2004	2004-01-21	Infants	Germany	Berlin	
hRSV/A/Germany/SH-05-02141/2005	2005-02-14	Preschool	Germany	Schleswig Holstein	
hRSV/A/Germany/RP-02-01284/2002	2002-02-16	Infants	Germany	Rhineland Palatinate	
hRSV/A/Germany/RP-04-01889/2004	2004-02-15	Infants	Germany	Rhineland Palatinate	
hRSV/A/Germany/BW-06-02671/2006	2006-03-29	Preschool	Germany	Baden-Wurttemberg	
hRSV/A/Germany/RP-07-01529/2007	2007-02-12	Preschool	Germany	Rhineland Palatinate	
hRSV/A/England/094780280/2009	2009-11-18	Preschool	United Kingdom	England	
hRSV/A/Germany/RP-08-02097/2008	2008-02-25	Infants	Germany	Rhineland Palatinate	
hRSV/A/Germany/RP-04-01612/2004	2004-02-07	Infants	Germany	Rhineland Palatinate	
hRSV/A/Mexico/MEX-23/2004	2004-12-24	Preschool	Mexico		
hRSV/A/Germany/BY-00-02433/2000	2000-03-07	Preschool	Germany	Bavaria	
hRSV/A/Germany/NI-01-02679/2001	2001-03-29	Infants	Germany	Lower Saxony	
hRSV/A/Germany/NI-03-00557/2002	2002-12-12	Newborns	Germany	Lower Saxony	
hRSV/A/Germany/RP-05-00643/2004	2004-12-17	Preschool	Germany	Rhineland Palatinate	
hRSV/A/Argentina/159/2004	2004-05-26		Argentina		
hRSV/A/Italy/ITA-120/2009	2009-03-19	Infants	Italy	Pavia	
hRSV/A/England/094820034/2009	2009-11-23	Preschool	United Kingdom	England	
hRSV/A/England/104800018/2010	2010-11-25	Geriatrics	United Kingdom	England	
hRSV/A/Germany/BY-00-02504/2000	2000-03-20	Preschool	Germany	Bavaria	
hRSV/A/Germany/NI-03-00082/2002	2002-10-25	Infants	Germany	Lower Saxony	
hRSV/A/USA/02-20-2001-GA2/2001	2001-02-20		USA	Tennessee	
