sample	name	start	end	depth
Yale-RSV-0001	Amplicon 1	77	496	733
Yale-RSV-0001	Amplicon 2	321	805	1534
Yale-RSV-0001	Amplicon 3	702	1115	5299
Yale-RSV-0001	Amplicon 4	943	1346	18095
Yale-RSV-0001	Amplicon 5	1226	1661	13672
Yale-RSV-0001	Amplicon 6	1546	1976	2245
Yale-RSV-0001	Amplicon 7	1867	2368	11722
Yale-RSV-0001	Amplicon 8	2236	2631	72279
Yale-RSV-0001	Amplicon 9	2541	2902	33780
Yale-RSV-0001	Amplicon 10	2762	3169	37303
Yale-RSV-0001	Amplicon 11	3085	3488	14203
Yale-RSV-0001	Amplicon 12	3398	3807	98392
Yale-RSV-0001	Amplicon 13	3722	4124	25587
Yale-RSV-0001	Amplicon 14	4407	4056	-1
Yale-RSV-0001	Amplicon 15	4323	4735	395
Yale-RSV-0001	Amplicon 16	4654	5055	96
Yale-RSV-0001	Amplicon 17	4967	5376	62288
Yale-RSV-0001	Amplicon 18	5203	5606	136019
Yale-RSV-0001	Amplicon 19	5503	5886	15482
Yale-RSV-0001	Amplicon 20	5782	6186	11358
Yale-RSV-0001	Amplicon 21	6064	6466	72534
Yale-RSV-0001	Amplicon 22	6377	6783	200427
Yale-RSV-0001	Amplicon 23	6680	7068	24415
Yale-RSV-0001	Amplicon 24	6979	7376	57766
Yale-RSV-0001	Amplicon 25	7273	7701	32786
Yale-RSV-0001	Amplicon 26	7627	7965	138960
Yale-RSV-0001	Amplicon 27	7862	8262	64547
Yale-RSV-0001	Amplicon 28	8160	8574	153748
Yale-RSV-0001	Amplicon 29	8469	8877	11568
Yale-RSV-0001	Amplicon 30	8748	9155	5015
Yale-RSV-0001	Amplicon 31	9061	9467	40581
Yale-RSV-0001	Amplicon 32	9350	9754	88698
Yale-RSV-0001	Amplicon 33	9661	10226	46867
Yale-RSV-0001	Amplicon 34	9977	10382	71799
Yale-RSV-0001	Amplicon 35	10265	10670	29722
Yale-RSV-0001	Amplicon 36	10566	10978	76518
Yale-RSV-0001	Amplicon 37	10878	11285	50897
Yale-RSV-0001	Amplicon 38	11183	11587	153722
Yale-RSV-0001	Amplicon 39	11483	11880	29334
Yale-RSV-0001	Amplicon 40	11775	12186	23450
Yale-RSV-0001	Amplicon 41	12084	12500	43801
Yale-RSV-0001	Amplicon 42	12414	12820	135873
Yale-RSV-0001	Amplicon 43	12712	13121	9386
Yale-RSV-0001	Amplicon 44	13405	13058	-1
Yale-RSV-0001	Amplicon 45	13338	13749	166
Yale-RSV-0001	Amplicon 46	13618	14033	4060
Yale-RSV-0001	Amplicon 47	13962	14366	31507
Yale-RSV-0001	Amplicon 48	14251	14660	52854
Yale-RSV-0001	Amplicon 49	14578	14979	1143
Yale-RSV-0001	Amplicon 50	14768	15174	384
sample	name	start	end	depth
Yale-RSV-0002	Amplicon 1	77	496	4667
Yale-RSV-0002	Amplicon 2	321	805	2088
Yale-RSV-0002	Amplicon 3	702	1115	164
Yale-RSV-0002	Amplicon 4	943	1346	32961
Yale-RSV-0002	Amplicon 5	1226	1661	35542
Yale-RSV-0002	Amplicon 6	1546	1976	49323
Yale-RSV-0002	Amplicon 7	1867	2368	198542
Yale-RSV-0002	Amplicon 8	2236	2631	49233
Yale-RSV-0002	Amplicon 9	2541	2902	8579
Yale-RSV-0002	Amplicon 10	2762	3169	35986
Yale-RSV-0002	Amplicon 11	3085	3488	158485
Yale-RSV-0002	Amplicon 12	3398	3807	66409
Yale-RSV-0002	Amplicon 13	3722	4124	97694
Yale-RSV-0002	Amplicon 14	4407	4056	-1
Yale-RSV-0002	Amplicon 15	4323	4735	20434
Yale-RSV-0002	Amplicon 16	4654	5055	25476
Yale-RSV-0002	Amplicon 17	4967	5376	137062
Yale-RSV-0002	Amplicon 18	5203	5606	101492
Yale-RSV-0002	Amplicon 19	5503	5886	105873
Yale-RSV-0002	Amplicon 20	5782	6186	92946
Yale-RSV-0002	Amplicon 21	6064	6466	242394
Yale-RSV-0002	Amplicon 22	6377	6783	123733
Yale-RSV-0002	Amplicon 23	6680	7068	179571
Yale-RSV-0002	Amplicon 24	6979	7376	44613
Yale-RSV-0002	Amplicon 25	7273	7701	55805
Yale-RSV-0002	Amplicon 26	7627	7965	115280
Yale-RSV-0002	Amplicon 27	7862	8262	228061
Yale-RSV-0002	Amplicon 28	8160	8574	54187
Yale-RSV-0002	Amplicon 29	8469	8877	114377
Yale-RSV-0002	Amplicon 30	8748	9155	44281
Yale-RSV-0002	Amplicon 31	9061	9467	96027
Yale-RSV-0002	Amplicon 32	9350	9754	30138
Yale-RSV-0002	Amplicon 33	9661	10226	7534
Yale-RSV-0002	Amplicon 34	9977	10382	84464
Yale-RSV-0002	Amplicon 35	10265	10670	168291
Yale-RSV-0002	Amplicon 36	10566	10978	110458
Yale-RSV-0002	Amplicon 37	10878	11285	223586
Yale-RSV-0002	Amplicon 38	11183	11587	71781
Yale-RSV-0002	Amplicon 39	11483	11880	173383
Yale-RSV-0002	Amplicon 40	11775	12186	60385
Yale-RSV-0002	Amplicon 41	12084	12500	98402
Yale-RSV-0002	Amplicon 42	12414	12820	85866
Yale-RSV-0002	Amplicon 43	12712	13121	114544
Yale-RSV-0002	Amplicon 44	13405	13058	-1
Yale-RSV-0002	Amplicon 45	13338	13749	551
Yale-RSV-0002	Amplicon 46	13618	14033	64944
Yale-RSV-0002	Amplicon 47	13962	14366	208818
Yale-RSV-0002	Amplicon 48	14251	14660	100208
Yale-RSV-0002	Amplicon 49	14578	14979	288859
Yale-RSV-0002	Amplicon 50	14768	15174	119543
sample	name	start	end	depth
Yale-RSV-0003	Amplicon 1	77	496	107618
Yale-RSV-0003	Amplicon 2	321	805	38829
Yale-RSV-0003	Amplicon 3	702	1115	196
Yale-RSV-0003	Amplicon 4	943	1346	60375
Yale-RSV-0003	Amplicon 5	1226	1661	92221
Yale-RSV-0003	Amplicon 6	1546	1976	65310
Yale-RSV-0003	Amplicon 7	1867	2368	194793
Yale-RSV-0003	Amplicon 8	2236	2631	65622
Yale-RSV-0003	Amplicon 9	2541	2902	67214
Yale-RSV-0003	Amplicon 10	2762	3169	81790
Yale-RSV-0003	Amplicon 11	3085	3488	154558
Yale-RSV-0003	Amplicon 12	3398	3807	47343
Yale-RSV-0003	Amplicon 13	3722	4124	69735
Yale-RSV-0003	Amplicon 14	4407	4056	-1
Yale-RSV-0003	Amplicon 15	4323	4735	21957
Yale-RSV-0003	Amplicon 16	4654	5055	19509
Yale-RSV-0003	Amplicon 17	4967	5376	73385
Yale-RSV-0003	Amplicon 18	5203	5606	59649
Yale-RSV-0003	Amplicon 19	5503	5886	118760
Yale-RSV-0003	Amplicon 20	5782	6186	92517
Yale-RSV-0003	Amplicon 21	6064	6466	203724
Yale-RSV-0003	Amplicon 22	6377	6783	116381
Yale-RSV-0003	Amplicon 23	6680	7068	178332
Yale-RSV-0003	Amplicon 24	6979	7376	36807
Yale-RSV-0003	Amplicon 25	7273	7701	39946
Yale-RSV-0003	Amplicon 26	7627	7965	126638
Yale-RSV-0003	Amplicon 27	7862	8262	219543
Yale-RSV-0003	Amplicon 28	8160	8574	52845
Yale-RSV-0003	Amplicon 29	8469	8877	110905
Yale-RSV-0003	Amplicon 30	8748	9155	44138
Yale-RSV-0003	Amplicon 31	9061	9467	94338
Yale-RSV-0003	Amplicon 32	9350	9754	37660
Yale-RSV-0003	Amplicon 33	9661	10226	11068
Yale-RSV-0003	Amplicon 34	9977	10382	69614
Yale-RSV-0003	Amplicon 35	10265	10670	143872
Yale-RSV-0003	Amplicon 36	10566	10978	118577
Yale-RSV-0003	Amplicon 37	10878	11285	241489
Yale-RSV-0003	Amplicon 38	11183	11587	77407
Yale-RSV-0003	Amplicon 39	11483	11880	124664
Yale-RSV-0003	Amplicon 40	11775	12186	82436
Yale-RSV-0003	Amplicon 41	12084	12500	119190
Yale-RSV-0003	Amplicon 42	12414	12820	69931
Yale-RSV-0003	Amplicon 43	12712	13121	84110
Yale-RSV-0003	Amplicon 44	13405	13058	-1
Yale-RSV-0003	Amplicon 45	13338	13749	13938
Yale-RSV-0003	Amplicon 46	13618	14033	29485
Yale-RSV-0003	Amplicon 47	13962	14366	67176
Yale-RSV-0003	Amplicon 48	14251	14660	85738
Yale-RSV-0003	Amplicon 49	14578	14979	289754
Yale-RSV-0003	Amplicon 50	14768	15174	120405
sample	name	start	end	depth
Yale-RSV-0006	Amplicon 1	77	496	27158
Yale-RSV-0006	Amplicon 2	321	805	31530
Yale-RSV-0006	Amplicon 3	702	1115	84687
Yale-RSV-0006	Amplicon 4	943	1346	34709
Yale-RSV-0006	Amplicon 5	1226	1661	144954
Yale-RSV-0006	Amplicon 6	1546	1976	57955
Yale-RSV-0006	Amplicon 7	1867	2368	222
Yale-RSV-0006	Amplicon 8	2236	2631	8329
Yale-RSV-0006	Amplicon 9	2541	2902	95141
Yale-RSV-0006	Amplicon 10	2762	3169	56330
Yale-RSV-0006	Amplicon 11	3085	3488	9656
Yale-RSV-0006	Amplicon 12	3398	3807	100973
Yale-RSV-0006	Amplicon 13	3722	4124	127497
Yale-RSV-0006	Amplicon 14	4407	4056	-1
Yale-RSV-0006	Amplicon 15	4323	4735	993
Yale-RSV-0006	Amplicon 16	4654	5055	10116
Yale-RSV-0006	Amplicon 17	4967	5376	37394
Yale-RSV-0006	Amplicon 18	5203	5606	79319
Yale-RSV-0006	Amplicon 19	5503	5886	196895
Yale-RSV-0006	Amplicon 20	5782	6186	250678
Yale-RSV-0006	Amplicon 21	6064	6466	199092
Yale-RSV-0006	Amplicon 22	6377	6783	294808
Yale-RSV-0006	Amplicon 23	6680	7068	33414
Yale-RSV-0006	Amplicon 24	6979	7376	34097
Yale-RSV-0006	Amplicon 25	7273	7701	15985
Yale-RSV-0006	Amplicon 26	7627	7965	68046
Yale-RSV-0006	Amplicon 27	7862	8262	94807
Yale-RSV-0006	Amplicon 28	8160	8574	103180
Yale-RSV-0006	Amplicon 29	8469	8877	104067
Yale-RSV-0006	Amplicon 30	8748	9155	83834
Yale-RSV-0006	Amplicon 31	9061	9467	121374
Yale-RSV-0006	Amplicon 32	9350	9754	195375
Yale-RSV-0006	Amplicon 33	9661	10226	33564
Yale-RSV-0006	Amplicon 34	9977	10382	51293
Yale-RSV-0006	Amplicon 35	10265	10670	51941
Yale-RSV-0006	Amplicon 36	10566	10978	103688
Yale-RSV-0006	Amplicon 37	10878	11285	220993
Yale-RSV-0006	Amplicon 38	11183	11587	157026
Yale-RSV-0006	Amplicon 39	11483	11880	95386
Yale-RSV-0006	Amplicon 40	11775	12186	142189
Yale-RSV-0006	Amplicon 41	12084	12500	256451
Yale-RSV-0006	Amplicon 42	12414	12820	143522
Yale-RSV-0006	Amplicon 43	12712	13121	83956
Yale-RSV-0006	Amplicon 44	13405	13058	-1
Yale-RSV-0006	Amplicon 45	13338	13749	23571
Yale-RSV-0006	Amplicon 46	13618	14033	125049
Yale-RSV-0006	Amplicon 47	13962	14366	292451
Yale-RSV-0006	Amplicon 48	14251	14660	91768
Yale-RSV-0006	Amplicon 49	14578	14979	106194
Yale-RSV-0006	Amplicon 50	14768	15174	64512
sample	name	start	end	depth
Yale-RSV-0007	Amplicon 1	77	496	8982
Yale-RSV-0007	Amplicon 2	321	805	7671
Yale-RSV-0007	Amplicon 3	702	1115	10664
Yale-RSV-0007	Amplicon 4	943	1346	8165
Yale-RSV-0007	Amplicon 5	1226	1661	56839
Yale-RSV-0007	Amplicon 6	1546	1976	22479
Yale-RSV-0007	Amplicon 7	1867	2368	584
