sample	call	mashcall
Yale-RSV-0009-1	RSVB	
Yale-RSV-0017-1	RSVB	
Yale-RSV-0038-1	RSVB	
Yale-RSV-0044-1	RSVB	
Yale-RSV-0087-1	RSVB	
Yale-RSV-0026-1	RSVA/B	
Yale-RSV-0001-1		RSVA
Yale-RSV-0006-1		RSVA
Yale-RSV-0007-1		RSVA
Yale-RSV-0020-1		RSVA
Yale-RSV-0030-1		RSVA
Yale-RSV-0037-1		RSVA
Yale-RSV-0043-1		RSVA
Yale-RSV-0053-1		RSVA
Yale-RSV-0055-1		RSVA
Yale-RSV-0061-1		RSVA
Yale-RSV-0075-1		RSVA
Yale-RSV-0076-1		RSVA
Yale-RSV-0085-1		RSVA
Yale-RSV-0002-1		RSVB
Yale-RSV-0003-1		RSVB
Yale-RSV-0004-1		RSVB
Yale-RSV-0005-1		RSVB
Yale-RSV-0008-1		RSVB
Yale-RSV-0011-1		RSVB
Yale-RSV-0012-1		RSVB
Yale-RSV-0013-1		RSVB
Yale-RSV-0014-1		RSVB
Yale-RSV-0015-1		RSVB
Yale-RSV-0016-1		RSVB
Yale-RSV-0018-1		RSVB
Yale-RSV-0022-1		RSVB
Yale-RSV-0023-1		RSVB
Yale-RSV-0024-1		RSVB
Yale-RSV-0025-1		RSVB
Yale-RSV-0027-1		RSVB
Yale-RSV-0028-1		RSVB
Yale-RSV-0029-1		RSVB
Yale-RSV-0031-1		RSVB
Yale-RSV-0033-1		RSVB
Yale-RSV-0034-1		RSVB
Yale-RSV-0035-1		RSVB
Yale-RSV-0036-1		RSVB
Yale-RSV-0039-1		RSVB
Yale-RSV-0040-1		RSVB
Yale-RSV-0041-1		RSVB
Yale-RSV-0042-1		RSVB
Yale-RSV-0045-1		RSVB
Yale-RSV-0047-1		RSVB
Yale-RSV-0048-1		RSVB
Yale-RSV-0049-1		RSVB
Yale-RSV-0051-1		RSVB
Yale-RSV-0052-1		RSVB
Yale-RSV-0054-1		RSVB
Yale-RSV-0056-1		RSVB
Yale-RSV-0057-1		RSVB
Yale-RSV-0058-1		RSVB
Yale-RSV-0059-1		RSVB
Yale-RSV-0060-1		RSVB
Yale-RSV-0063-1		RSVB
Yale-RSV-0064-1		RSVB
Yale-RSV-0065-1		RSVB
Yale-RSV-0066-1		RSVB
Yale-RSV-0067-1		RSVB
Yale-RSV-0068-1		RSVB
Yale-RSV-0069-1		RSVB
Yale-RSV-0070-1		RSVB
Yale-RSV-0071-1		RSVB
Yale-RSV-0073-1		RSVB
Yale-RSV-0074-1		RSVB
Yale-RSV-0077-1		RSVB
Yale-RSV-0079-1		RSVB
Yale-RSV-0080-1		RSVB
Yale-RSV-0081-1		RSVB
Yale-RSV-0082-1		RSVB
Yale-RSV-0083-1		RSVB
Yale-RSV-0084-1		RSVB
Yale-RSV-0086-1		RSVB
Yale-RSV-0089-1		RSVB
Yale-RSV-0090-1		RSVB
Yale-RSV-0091-1		RSVB
Yale-RSV-0092-1		RSVB
Yale-RSV-0093-1		RSVB
Yale-RSV-0094-1		RSVB
