sample	call	mashcall
Yale-RSV-0098-1	RSVB	
Yale-RSV-0107-1	RSVB	
Yale-RSV-0126-1	RSVB	
Yale-RSV-0130-1	RSVB	
Yale-RSV-0146-1	RSVB	
Yale-RSV-0178-1	RSVB	
Yale-RSV-0181-1	RSVB	
Yale-RSV-0236-1	RSVB	
Yale-RSV-0244-1	RSVB	
Yale-RSV-0275-1	RSVB	
Yale-RSV-0354-1	RSVB	
Yale-RSV-0389-1	RSVB	
Yale-RSV-0390-1	RSVB	
Yale-RSV-0391-1	RSVB	
Yale-RSV-0392-1	RSVB	
Yale-RSV-0394-1	RSVB	
Yale-RSV-0400-1	RSVB	
Yale-RSV-0403-1	RSVB	
Yale-RSV-0404-1	RSVB	
Yale-RSV-0405-1	RSVB	
Yale-RSV-0406-1	RSVB	
Yale-RSV-0408-1	RSVB	
Yale-RSV-0432-1	RSVB	
Yale-RSV-0447-1	RSVB	
Yale-RSV-0473-1	RSVB	
Yale-RSV-0503-1	RSVB	
Yale-RSV-0133-1	RSVA	
Yale-RSV-0136-1	RSVA	
Yale-RSV-0147-1	RSVA	
Yale-RSV-0189-1	RSVA	
Yale-RSV-0216-1	RSVA	
Yale-RSV-0388-1	RSVA	
Yale-RSV-0395-1	RSVA	
Yale-RSV-0397-1	RSVA	
Yale-RSV-0468-1	RSVA	
Yale-RSV-0475-1	RSVA	
Yale-RSV-0504-1	RSVA	
Yale-RSV-0568-1	RSVA	
Yale-RSV-0026-1	RSVA/B	
Yale-RSV-0113-1	RSVA/B	
Yale-RSV-0118-1	RSVA/B	
Yale-RSV-0462-1	RSVA/B	
Yale-RSV-0530-1	RSVA/B	
Yale-RSV-0543-1	RSVA/B	
Yale-RSV-0577-1	RSVA/B	
Yale-RSV-0002-1		RSVB
Yale-RSV-0003-1		RSVB
Yale-RSV-0004-1		RSVB
Yale-RSV-0005-1		RSVB
Yale-RSV-0008-1		RSVB
Yale-RSV-0009-1		RSVB
Yale-RSV-0011-1		RSVB
Yale-RSV-0012-1		RSVB
Yale-RSV-0013-1		RSVB
Yale-RSV-0014-1		RSVB
Yale-RSV-0015-1		RSVB
Yale-RSV-0016-1		RSVB
Yale-RSV-0017-1		RSVB
Yale-RSV-0018-1		RSVB
Yale-RSV-0022-1		RSVB
Yale-RSV-0023-1		RSVB
Yale-RSV-0024-1		RSVB
Yale-RSV-0025-1		RSVB
Yale-RSV-0027-1		RSVB
Yale-RSV-0028-1		RSVB
Yale-RSV-0029-1		RSVB
Yale-RSV-0031-1		RSVB
Yale-RSV-0033-1		RSVB
Yale-RSV-0034-1		RSVB
Yale-RSV-0035-1		RSVB
Yale-RSV-0036-1		RSVB
Yale-RSV-0038-1		RSVB
Yale-RSV-0039-1		RSVB
Yale-RSV-0040-1		RSVB
Yale-RSV-0041-1		RSVB
Yale-RSV-0042-1		RSVB
Yale-RSV-0044-1		RSVB
Yale-RSV-0045-1		RSVB
Yale-RSV-0047-1		RSVB
Yale-RSV-0048-1		RSVB
Yale-RSV-0049-1		RSVB
Yale-RSV-0051-1		RSVB
Yale-RSV-0052-1		RSVB
Yale-RSV-0054-1		RSVB
Yale-RSV-0056-1		RSVB
Yale-RSV-0057-1		RSVB
Yale-RSV-0058-1		RSVB
Yale-RSV-0059-1		RSVB
Yale-RSV-0060-1		RSVB
Yale-RSV-0063-1		RSVB
Yale-RSV-0064-1		RSVB
