submissionId	country	date	genotype	season	switchseason	switch	seltype
KP862060.1	Kenya	2003-01-03	RSVB	2003	2003	RSVA->RSVB	replication
KP862061.1	Kenya	2003-01-08	RSVB	2003	2003	RSVA->RSVB	replication
KP317930.1	Kenya	2003-01-13	RSVB	2003	2003	RSVA->RSVB	replication
KP862062.1	Kenya	2003-01-13	RSVB	2003	2003	RSVA->RSVB	replication
KP862063.1	Kenya	2003-01-14	RSVB	2003	2003	RSVA->RSVB	replication
KP862064.1	Kenya	2003-01-17	RSVB	2003	2003	RSVA->RSVB	replication
KP862066.1	Kenya	2003-01-19	RSVB	2003	2003	RSVA->RSVB	replication
KP862065.1	Kenya	2003-01-19	RSVB	2003	2003	RSVA->RSVB	replication
KP317955.1	Kenya	2003-01-28	RSVA	2003	2003	RSVA->RSVB	evasion
KP862068.1	Kenya	2003-01-28	RSVB	2003	2003	RSVA->RSVB	replication
KP862067.1	Kenya	2003-01-28	RSVB	2003	2003	RSVA->RSVB	replication
KP862069.1	Kenya	2003-01-30	RSVB	2003	2003	RSVA->RSVB	replication
KP862070.1	Kenya	2003-02-02	RSVB	2003	2003	RSVA->RSVB	replication
KP862071.1	Kenya	2003-02-04	RSVB	2003	2003	RSVA->RSVB	replication
KP862072.1	Kenya	2003-02-11	RSVB	2003	2003	RSVA->RSVB	replication
KP317949.1	Kenya	2003-02-13	RSVA	2003	2003	RSVA->RSVB	evasion
KP862073.1	Kenya	2003-02-14	RSVB	2003	2003	RSVA->RSVB	replication
KP862074.1	Kenya	2003-02-23	RSVB	2003	2003	RSVA->RSVB	replication
KP862075.1	Kenya	2003-02-24	RSVB	2003	2003	RSVA->RSVB	replication
KP862076.1	Kenya	2003-02-27	RSVB	2003	2003	RSVA->RSVB	replication
KP862078.1	Kenya	2003-02-28	RSVB	2003	2003	RSVA->RSVB	replication
KP862077.1	Kenya	2003-02-28	RSVB	2003	2003	RSVA->RSVB	replication
KP862079.1	Kenya	2003-03-07	RSVB	2003	2003	RSVA->RSVB	replication
KP862080.1	Kenya	2003-03-23	RSVB	2003	2003	RSVA->RSVB	replication
KP862081.1	Kenya	2003-04-08	RSVB	2003	2003	RSVA->RSVB	replication
KP862082.1	Kenya	2003-04-26	RSVB	2003	2003	RSVA->RSVB	replication
KC263040.1	Kenya	2003-04-26	RSVB	2003	2003	RSVA->RSVB	replication
KP862083.1	Kenya	2003-05-28	RSVB	2003	2003	RSVA->RSVB	replication
KT765833.1	Kenya	2003-12-30	RSVA	2003	2003	RSVA->RSVB	evasion
KP862199.1	Kenya	2005-12-14	RSVB	2005	2006	RSVB->RSVA	evasion_l
KT765706.1	Kenya	2006-01-02	RSVA	2006	2006	RSVB->RSVA	replication
KT765740.1	Kenya	2006-01-04	RSVA	2006	2006	RSVB->RSVA	replication
KT765741.1	Kenya	2006-01-04	RSVA	2006	2006	RSVB->RSVA	replication
KT765724.1	Kenya	2006-01-05	RSVA	2006	2006	RSVB->RSVA	replication
KT765708.1	Kenya	2006-01-05	RSVA	2006	2006	RSVB->RSVA	replication
KT765760.1	Kenya	2006-01-09	RSVA	2006	2006	RSVB->RSVA	replication
KT765739.1	Kenya	2006-01-12	RSVA	2006	2006	RSVB->RSVA	replication
KT765742.1	Kenya	2006-01-13	RSVA	2006	2006	RSVB->RSVA	replication
KP862200.1	Kenya	2006-01-21	RSVB	2006	2006	RSVB->RSVA	evasion
KT765722.1	Kenya	2006-01-23	RSVA	2006	2006	RSVB->RSVA	replication
KT765761.1	Kenya	2006-01-25	RSVA	2006	2006	RSVB->RSVA	replication
KP862201.1	Kenya	2006-01-27	RSVB	2006	2006	RSVB->RSVA	evasion
KP317917.1	Kenya	2006-01-27	RSVB	2006	2006	RSVB->RSVA	evasion
KP862202.1	Kenya	2006-01-28	RSVB	2006	2006	RSVB->RSVA	evasion
KT765744.1	Kenya	2006-01-31	RSVA	2006	2006	RSVB->RSVA	replication
KT765725.1	Kenya	2006-01-31	RSVA	2006	2006	RSVB->RSVA	replication
KT765777.1	Kenya	2006-02-01	RSVA	2006	2006	RSVB->RSVA	replication
KT765718.1	Kenya	2006-02-05	RSVA	2006	2006	RSVB->RSVA	replication
KT765743.1	Kenya	2006-02-06	RSVA	2006	2006	RSVB->RSVA	replication
KT765737.1	Kenya	2006-02-06	RSVA	2006	2006	RSVB->RSVA	replication
KT765763.1	Kenya	2006-02-06	RSVA	2006	2006	RSVB->RSVA	replication
KT765752.1	Kenya	2006-02-06	RSVA	2006	2006	RSVB->RSVA	replication
KT765714.1	Kenya	2006-02-07	RSVA	2006	2006	RSVB->RSVA	replication
KT765731.1	Kenya	2006-02-08	RSVA	2006	2006	RSVB->RSVA	replication
KT765729.1	Kenya	2006-02-09	RSVA	2006	2006	RSVB->RSVA	replication
KT765732.1	Kenya	2006-02-19	RSVA	2006	2006	RSVB->RSVA	replication
KP317944.1	Kenya	2006-02-20	RSVA	2006	2006	RSVB->RSVA	replication
KT765728.1	Kenya	2006-02-20	RSVA	2006	2006	RSVB->RSVA	replication
KT765762.1	Kenya	2006-02-21	RSVA	2006	2006	RSVB->RSVA	replication
KT765750.1	Kenya	2006-02-21	RSVA	2006	2006	RSVB->RSVA	replication
KT765735.1	Kenya	2006-02-22	RSVA	2006	2006	RSVB->RSVA	replication
KT765723.1	Kenya	2006-02-22	RSVA	2006	2006	RSVB->RSVA	replication
KT765736.1	Kenya	2006-02-22	RSVA	2006	2006	RSVB->RSVA	replication
KT765753.1	Kenya	2006-02-22	RSVA	2006	2006	RSVB->RSVA	replication
KT765713.1	Kenya	2006-02-23	RSVA	2006	2006	RSVB->RSVA	replication
KP317942.1	Kenya	2006-02-23	RSVA	2006	2006	RSVB->RSVA	replication
