target,gene,clade,n_tips,LR,p,K
RSVA,G,A.D,0,,,
RSVA,G,A.D.1,3,,,
RSVA,G,A.D.1.10,14,2.397268730144788,0.1215472992678788,50
RSVA,G,A.D.1.11,2,,,
RSVA,G,A.D.1.4,4,,,
RSVA,G,A.D.1.5,30,0.4764989071609307,0.4900124623565759,1.675843662434587
RSVA,G,A.D.1.6,13,2.067337035348828,0.1504840788452161,0
RSVA,G,A.D.1.8,1,,,
RSVA,G,A.D.1.9,21,12.79252274747341,0.0003480075062546328,5.511948524697172
RSVA,G,A.D.2.1,5,1.64346281487633,0.1998510175718982,2.216133226407591e-07
RSVA,G,A.D.3,35,0.4001316993471846,0.5270212497260303,0.7519043472143334
RSVA,G,A.D.3.1,12,1.102444220277903,0.293730325288306,0.165497018406427
RSVA,G,A.D.3.10,0,,,
RSVA,G,A.D.3.12,6,3.090161999803968,0.07876696595099308,0
RSVA,G,A.D.3.2,12,1.385977980340613,0.2390854985191765,0.134505731720535
RSVA,G,A.D.3.3,39,-0.0005544088780879974,1.0,0.9963019327635568
RSVA,G,A.D.3.4,10,0.1721098128800804,0.6782435169857923,1.661554052100652
RSVA,G,A.D.3.7,15,0.2596280951893277,0.6103757735618329,1.629916938484859
RSVA,G,A.D.3.9,19,1.262375612905089,0.2612018981222104,3.43067793810241
RSVA,G,A.D.5.1,0,,,
RSVA,G,A.D.5.2,40,0.1178075310817803,0.7314246721813418,0.8163754942757366
RSVA,F,A.D,0,,,
RSVA,F,A.D.1,3,,,
RSVA,F,A.D.1.10,12,3.586871537325351,0.05823778234854071,0.2116998513007813
RSVA,F,A.D.1.11,2,,,
RSVA,F,A.D.1.4,5,1.119906241438002,0.2899386435370397,0.1370176658967296
RSVA,F,A.D.1.5,26,0.5998666025043349,0.4386289278396639,0.5551963258674774
RSVA,F,A.D.1.6,8,0.5691884259103972,0.4505815946701865,0.2645080433495927
RSVA,F,A.D.1.8,1,,,
RSVA,F,A.D.1.9,24,0.8738322296030674,0.3498965657284494,2.16451036116618
RSVA,F,A.D.2.1,6,0.0215248799740948,0.8833580847457582,1.144801725577475
RSVA,F,A.D.3,32,0.5746159339778387,0.4484304753115442,1.331026864541599
RSVA,F,A.D.3.1,14,1.367144473597364,0.2423031092032397,0.4369206387653169
RSVA,F,A.D.3.10,0,,,
RSVA,F,A.D.3.12,6,0.474817770817026,0.4907790781913528,0.3629255470798937
RSVA,F,A.D.3.2,10,0.004571684006805299,0.9460927279659509,0.9606033179865502
RSVA,F,A.D.3.3,24,2.817101045608069,0.09326470890736649,4.689771805321799
RSVA,F,A.D.3.4,9,0.4472282753231411,0.5036541495990978,0.2718601812026052
RSVA,F,A.D.3.7,8,0.1318096859977231,0.7165630245468638,1.282639119249067
RSVA,F,A.D.3.9,13,2.931254578974404,0.08687995429123674,0.3307632392508257
RSVA,F,A.D.5.1,2,,,
RSVA,F,A.D.5.2,56,2.415120479025063,0.1201687244916447,2.479919635714663
RSVA,L,A.D,0,,,
RSVA,L,A.D.1,3,,,
RSVA,L,A.D.1.10,20,0.9134553988624248,0.3391992590659404,1.200668797658099
