target,gene,clade,n_tips,LR,p,K
RSVA,G,A.D,0,,,
RSVA,G,A.D.1,88,5.566621540881897,0.01830604849339346,1.8165105849358
RSVA,G,A.D.2,5,1.117812807955488,0.2903899008926977,0.2776231478099157
RSVA,G,A.D.3,148,1.694342755874459,0.1930294863376256,0.5738894593675263
RSVA,G,A.D.5,40,0.6284047535809805,0.4279410652188751,0.6554870277086569
RSVA,F,A.D,0,,,
RSVA,F,A.D.1,81,0.04905912992217054,0.8247086200804825,1.036738065143158
RSVA,F,A.D.2,6,3.340195185919583,0.06760658883764536,7.977888567980338
RSVA,F,A.D.3,116,0.2345879488530045,0.628142605049737,1.229076536675617
RSVA,F,A.D.5,58,2.726491267476376,0.09869589954999691,2.426877232049917
RSVA,L,A.D,0,,,
RSVA,L,A.D.1,104,1.546875653861207,0.2135972723584857,0.9303056573195483
RSVA,L,A.D.2,4,,,
RSVA,L,A.D.3,160,1.07714503443276,0.2993371103467478,1.058077509439567
RSVA,L,A.D.5,54,0.2152624783775536,0.6426736269987436,1.031576001880119
RSVA,N,A.D,0,,,
RSVA,N,A.D.1,11,2.037263777588123,0.1534855190718436,38.92910887452999
RSVA,N,A.D.2,3,,,
RSVA,N,A.D.3,14,7.859798855483859,0.005054601530379843,4.222120237856872
RSVA,N,A.D.5,3,,,
RSVA,P,A.D,0,,,
RSVA,P,A.D.1,43,0.1403321951447651,0.707950988516412,1.067622452899208
RSVA,P,A.D.2,3,,,
RSVA,P,A.D.3,61,1.810509404906043,0.1784471341246125,0.3172305860438429
RSVA,P,A.D.5,30,2.540011162743212,0.1109940017747357,3.243078118845211
RSVA,M2-1,A.D,0,,,
RSVA,M2-1,A.D.1,33,2.063164896749186,0.1508964792068245,0.7563976572860907
RSVA,M2-1,A.D.2,3,,,
RSVA,M2-1,A.D.3,56,1.790155590217182,0.1809072070294598,1.277979701653298
RSVA,M2-1,A.D.5,25,0.04846389996600919,0.8257580897988783,1.04353310285556
RSVA,M2-2,A.D,0,,,
RSVA,M2-2,A.D.1,32,0.01079758434229916,0.9172396399911942,1.024891186208581
RSVA,M2-2,A.D.2,3,,,
RSVA,M2-2,A.D.3,38,0.2000174273023276,0.6547067795991067,0.8860896661719657
RSVA,M2-2,A.D.5,16,0.6587942020971695,0.4169859583175093,1.339536749725638
RSVA,M,A.D,0,,,
RSVA,M,A.D.1,51,0.1031155612663497,0.7481223962071366,0.9463937212355856
RSVA,M,A.D.2,3,,,
RSVA,M,A.D.3,57,0.164783234305105,0.6847903514423381,1.073984395977933
RSVA,M,A.D.5,25,0.02439202131245111,0.8758915726976908,1.035579901399739
RSVA,SH,A.D,0,,,
RSVA,SH,A.D.1,24,5.330395567815231,0.02095662829317335,1.970109292044684
RSVA,SH,A.D.2,2,,,
RSVA,SH,A.D.3,29,3.375949783890292,0.06615443869077442,0.5633453972653755
RSVA,SH,A.D.5,9,0.2403230723007255,0.623972872302319,0.804520586035759
RSVA,NS1,A.D,0,,,
RSVA,NS1,A.D.1,18,0.5862832133391294,0.443859986900332,1.216439793870976
RSVA,NS1,A.D.2,1,,,
RSVA,NS1,A.D.3,38,0.3087360737865765,0.5784568185374276,0.8619871481974131
RSVA,NS1,A.D.5,18,0.2691910864214151,0.6038749151605722,0.8397494703959868
RSVA,NS2,A.D,0,,,
RSVA,NS2,A.D.1,36,6.309151513050892e-05,0.9936624562084407,0.9993819558273171
RSVA,NS2,A.D.2,2,,,
RSVA,NS2,A.D.3,44,5.828210206115273,0.01577116105230847,1.709036308197626
RSVA,NS2,A.D.5,19,4.409348197558757,0.03574249557364151,1.831397341542083
