"name"	"date"	"continent"	"country"	"region"	"agestr"	"specimen"	"age"	"agecat"
"hRSV/A/South Africa/NICD-R00038/2021"	2021-01-05	"Africa"	"South Africa"	"Gauteng"	"2"	"Nasopharyngeal swab"	2	"Preschool"
"hRSV/A/South Africa/NICD-R00749/2021"	2021-01-19	"Africa"	"South Africa"	"Mpumalanga"	"3"	"Nasopharyngeal swab"	3	"Preschool"
"hRSV/A/South Africa/NICD-R00917/2021"	2021-01-21	"Africa"	"South Africa"	"Mpumalanga"	"2"	"Nasopharyngeal swab"	2	"Preschool"
"hRSV/A/South Africa/NICD-R01072/2022"	2022-01-25	"Africa"	"South Africa"	"KwaZulu-Natal"	"33"	"Nasopharyngeal swab"	33	"Adults"
"hRSV/A/South Africa/NICD-R01348/2022"	2022-02-02	"Africa"	"South Africa"	"KwaZulu-Natal"	"1"	"Nasopharyngeal swab"	1	"Preschool"
"hRSV/A/South Africa/NICD-R01350/2022"	2022-02-03	"Africa"	"South Africa"	"KwaZulu-Natal"	"1"	"Nasopharyngeal swab"	1	"Preschool"
"hRSV/A/South Africa/NICD-R01353/2022"	2022-01-31	"Africa"	"South Africa"	"KwaZulu-Natal"	"4"	"Nasopharyngeal swab"	4	"Preschool"
"hRSV/A/South Africa/NICD-R01358/2022"	2022-02-03	"Africa"	"South Africa"	"KwaZulu-Natal"	"1"	"Nasopharyngeal swab"	1	"Preschool"
"hRSV/A/South Africa/NICD-R01359/2022"	2022-02-01	"Africa"	"South Africa"	"KwaZulu-Natal"	"1"	"Nasopharyngeal swab"	1	"Preschool"
"hRSV/A/South Africa/NICD-R01667/2022"	2022-02-07	"Africa"	"South Africa"	"KwaZulu-Natal"	"4"	"Nasopharyngeal swab"	4	"Preschool"
"hRSV/A/South Africa/NICD-R01675/2022"	2022-02-09	"Africa"	"South Africa"	"KwaZulu-Natal"	"12"	"Nasopharyngeal swab"	12	"Children"
"hRSV/A/South Africa/NICD-R01679/2022"	2022-02-07	"Africa"	"South Africa"	"KwaZulu-Natal"	"2"	"Nasopharyngeal swab"	2	"Preschool"
"hRSV/A/South Africa/NICD-R01684/2022"	2022-02-04	"Africa"	"South Africa"	"KwaZulu-Natal"	"2"	"Nasopharyngeal swab"	2	"Preschool"
"hRSV/A/South Africa/NICD-R01938/2022"	2022-02-17	"Africa"	"South Africa"	"KwaZulu-Natal"	"1"	"Nasopharyngeal swab"	1	"Preschool"
"hRSV/A/South Africa/NICD-R01940/2022"	2022-02-17	"Africa"	"South Africa"	"KwaZulu-Natal"	"1"	"Nasopharyngeal swab"	1	"Preschool"
"hRSV/A/South Africa/NICD-R01943/2022"	2022-02-16	"Africa"	"South Africa"	"KwaZulu-Natal"	"1"	"Nasopharyngeal swab"	1	"Preschool"
"hRSV/A/South Africa/NICD-R01949/2022"	2022-02-15	"Africa"	"South Africa"	"KwaZulu-Natal"	"1"	"Nasopharyngeal swab"	1	"Preschool"
"hRSV/A/South Africa/NICD-R01960/2022"	2022-02-17	"Africa"	"South Africa"	"KwaZulu-Natal"	"5"	"Nasopharyngeal swab"	5	"Preschool"
"hRSV/A/South Africa/NICD-R01961/2022"	2022-02-17	"Africa"	"South Africa"	"KwaZulu-Natal"	"2"	"Nasopharyngeal swab"	2	"Preschool"
"hRSV/A/South Africa/NICD-R01966/2022"	2022-02-16	"Africa"	"South Africa"	"KwaZulu-Natal"	"4"	"Nasopharyngeal swab"	4	"Preschool"
"hRSV/A/South Africa/NICD-R02323/2021"	2021-01-27	"Africa"	"South Africa"	"Mpumalanga"	"2"	"Nasopharyngeal swab"	2	"Preschool"
"hRSV/A/South Africa/NICD-R03159/2021"	2021-02-25	"Africa"	"South Africa"	"Western Cape"	"3"	"Nasopharyngeal swab"	3	"Preschool"
