codon,alpha,beta,beta-alpha,Prob[alpha>beta],Prob[alpha<beta],BayesFactor[alpha<beta],x6,x7,dataset
0,3.723058619809517,0.1642981154158491,-3.558760504393668,0.8426634038786865,0.1131206278262202,0.2114814758421436,0,0,RSVB_NS2_fubar_PGCOE
1,0.686886007806093,0.5290234654468698,-0.1578625423592231,0.5629960621868645,0.3665960058964067,0.9596260103232565,0,0,RSVB_NS2_fubar_PGCOE
2,0.6127803117473842,0.6463955174186967,0.03361520567131249,0.4151309300523715,0.5092930033120544,1.720840184478194,0,0,RSVB_NS2_fubar_PGCOE
3,1.569761677378553,0.1813242370894676,-1.388437440289086,0.9130797441197815,0.0643376170540111,0.1140094580663227,0,0,RSVB_NS2_fubar_PGCOE
4,3.801376763672566,1.111928586172604,-2.689448177499962,0.834068193825033,0.09494959934580453,0.1739464024140357,0,0,RSVB_NS2_fubar_PGCOE
5,0.6729572568870019,1.858471566876885,1.185514309989883,0.09803181997609245,0.8500992520490884,9.402880434738591,0,0,RSVB_NS2_fubar_PGCOE
6,0.7483759695636664,0.3331933200213633,-0.4151826495423031,0.738755390148513,0.2112163374038928,0.4439813016484087,0,0,RSVB_NS2_fubar_PGCOE
7,0.3629907955952941,0.4777146994923351,0.114723903897041,0.3316209360139637,0.600868982020792,2.496085085063981,0,0,RSVB_NS2_fubar_PGCOE
8,1.802513668211413,0.6334901840045537,-1.16902348420686,0.7897594514161588,0.1558428015108714,0.3060965945826009,0,0,RSVB_NS2_fubar_PGCOE
9,23.58559684503162,0.4414425333071002,-23.14415431172452,0.9703802899371357,0.02290145988753078,0.03886152893025904,0,0,RSVB_NS2_fubar_PGCOE
10,0.5627690607004022,0.9295326207343412,0.366763560033939,0.2956150453959272,0.6484753016805925,3.058670364103684,0,0,RSVB_NS2_fubar_PGCOE
11,0.6470232761021795,0.25301126582235,-0.3940120102798295,0.6595759896899408,0.2674279428049725,0.6052732961649554,0,0,RSVB_NS2_fubar_PGCOE
12,1.261911291819412,0.2651650028460393,-0.9967462889733725,0.9047215781283267,0.070181685282316,0.1251470958880566,0,0,RSVB_NS2_fubar_PGCOE
13,3.959208773976295,0.5866866099966948,-3.3725221639796,0.5500448060533656,0.4000401165096667,1.105544968727761,0,0,RSVB_NS2_fubar_PGCOE
14,2.040319152249073,0.5103956525296595,-1.529923499719413,0.8710361208299415,0.09337661440546542,0.1707679189078359,0,0,RSVB_NS2_fubar_PGCOE
15,0.6216996842380054,0.2129395655558261,-0.4087601186821793,0.6885504335799788,0.2348621017638455,0.5089420196325618,0,0,RSVB_NS2_fubar_PGCOE
16,0.3819081492768816,0.2495401371523248,-0.1323680121245568,0.562159630525453,0.3415116322894552,0.8599089573493072,0,0,RSVB_NS2_fubar_PGCOE
17,4.084905487067834,0.4250489852054707,-3.659856501862363,0.6590028508008532,0.2918188342296624,0.6832254341189304,0,0,RSVB_NS2_fubar_PGCOE
18,1.432198117172185,0.5267465465905754,-0.9054515705816097,0.6997309412270201,0.2448997127143587,0.5377478957830782,0,0,RSVB_NS2_fubar_PGCOE
19,1.8158315303379,0.3820786298414649,-1.433752900496436,0.9183781873415092,0.05748646589785192,0.1011283903274981,0,0,RSVB_NS2_fubar_PGCOE
20,0.6895534704256663,0.2992591922883548,-0.3902942781373115,0.7990422252764057,0.1573579246236025,0.3096282354497753,0,0,RSVB_NS2_fubar_PGCOE
21,2.367733641744683,0.1177786006607888,-2.249955041083894,0.9862561934136697,0.009253642573740043,0.01548621612167304,0,0,RSVB_NS2_fubar_PGCOE
