accessionVersion	lineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	completeness	geoLocAdmin2	geoLocCity	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs	diagnosticMeasurementValue	diagnosticMeasurementUnit	diagnosticMeasurementMethod
PP_0018BG8.1	A.3	1999-12	Netherlands		Widjojoatmodjo, M. N.; Boes, J.; van Bers, M.; van Remmerden, Y.; Roholl, P. J.; Luytjes, W.; Roholl, P. J. M.	Netherlands Vaccine Institute, Vaccine Research	Homo sapiens	15223	2010-07-13	FJ948820.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	1.0					0	0			
PP_001947X.1	A.3.1	2007	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15145	2011-10-23	JF920046.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9988834154351396					6	0			
PP_001948V.1	A.3.1	2008-01-17	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15121	2011-10-23	JF920047.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9977668308702792					0	0			
PP_001949T.1	A.3.1	2007	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15145	2011-10-23	JF920048.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9992118226600986					1	0			
PP_00194AR.1	A.3.1	2007-12-28	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15145	2011-10-23	JF920049.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9992118226600986					1	0			
PP_00194CM.1	A.3.1	2007-12-22	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15119	2011-10-23	JF920051.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9974384236453202					2	0			
PP_00194DK.1	A.3.1.1	2010-01-13	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15141	2011-10-23	JF920052.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9978325123152709					1	21			
PP_00194EH.1	A.3.1.1	2010-02-16	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15099	2011-10-23	JF920053.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9959934318555008					6	0			
PP_00194FF.1	A.3.1	2010-02-16	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15097	2011-10-23	JF920054.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9964532019704434					1	0			
PP_00194GD.1	A.3.1	2010-01-25	USA	Milwaukee, WI	Rebuffo-Scheer, C.; Bose, M. E.; He, J.; Khaja, S.; Ulatowski, M.; Beck, E. T.; Fan, J.; Kumar, S.; Nelson, M. I.; Henrickson, K. J.	Medical College of Wisconsin, Pediatrics - Infectious Diseases	Homo sapiens	15140	2011-10-23	JF920055.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	0.9852873563218391					3	210			
