MAF	sample	target
0.36758900000000005	Yale-RSV-0001	RSVA
0.374016	Yale-RSV-0001	RSVA
0.401606	Yale-RSV-0001	RSVA
0.42023299999999997	Yale-RSV-0001	RSVA
0.472441	Yale-RSV-0001	RSVA
0.210526	Yale-RSV-0001	RSVA
0.219512	Yale-RSV-0001	RSVA
0.217742	Yale-RSV-0001	RSVA
0.217742	Yale-RSV-0001	RSVA
0.21599999999999997	Yale-RSV-0001	RSVA
0.2	Yale-RSV-0001	RSVA
0.2	Yale-RSV-0001	RSVA
0.18845800000000001	Yale-RSV-0001	RSVA
0.22262	Yale-RSV-0001	RSVA
0.248871	Yale-RSV-0001	RSVA
0.248737	Yale-RSV-0001	RSVA
0.261256	Yale-RSV-0001	RSVA
0.272222	Yale-RSV-0001	RSVA
0.283784	Yale-RSV-0001	RSVA
0.43088	Yale-RSV-0001	RSVA
0.433155	Yale-RSV-0001	RSVA
0.428073	Yale-RSV-0001	RSVA
0.243558	Yale-RSV-0001	RSVA
0.307435	Yale-RSV-0001	RSVA
0.10885299999999998	Yale-RSV-0001	RSVA
0.174041	Yale-RSV-0001	RSVA
0.180137	Yale-RSV-0001	RSVA
0.24115600000000004	Yale-RSV-0001	RSVA
0.26775	Yale-RSV-0001	RSVA
0.268913	Yale-RSV-0001	RSVA
0.273026	Yale-RSV-0001	RSVA
0.38129500000000005	Yale-RSV-0001	RSVA
0.34186700000000003	Yale-RSV-0001	RSVA
0.21960800000000003	Yale-RSV-0001	RSVA
0.19125999999999999	Yale-RSV-0001	RSVA
0.45098	Yale-RSV-0001	RSVA
0.054544999999999955	Yale-RSV-0001	RSVA
0.21372899999999995	Yale-RSV-0001	RSVA
0.05389699999999997	Yale-RSV-0001	RSVA
0.44875	Yale-RSV-0001	RSVA
0.229329	Yale-RSV-0001	RSVA
0.23979099999999998	Yale-RSV-0001	RSVA
0.202418	Yale-RSV-0001	RSVA
0.10325700000000004	Yale-RSV-0001	RSVA
0.10605799999999999	Yale-RSV-0001	RSVA
0.11107999999999996	Yale-RSV-0001	RSVA
0.11156900000000003	Yale-RSV-0001	RSVA
0.111016	Yale-RSV-0001	RSVA
0.110093	Yale-RSV-0001	RSVA
0.10897299999999999	Yale-RSV-0001	RSVA
0.09557499999999997	Yale-RSV-0001	RSVA
0.07314699999999996	Yale-RSV-0001	RSVA
0.15261199999999997	Yale-RSV-0001	RSVA
0.12240899999999999	Yale-RSV-0001	RSVA
0.14705900000000005	Yale-RSV-0001	RSVA
0.19047599999999998	Yale-RSV-0001	RSVA
0.07780500000000001	Yale-RSV-0001	RSVA
0.220588	Yale-RSV-0001	RSVA
0.13101600000000002	Yale-RSV-0001	RSVA
0.054093999999999975	Yale-RSV-0001	RSVA
0.05308199999999996	Yale-RSV-0001	RSVA
