Accession,Submitters,Geo_Location,Country
PV246706,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246707,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246708,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246709,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246710,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246711,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246712,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246713,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246714,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246715,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246716,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246717,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246718,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246719,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246720,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246721,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246722,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246723,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246724,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246725,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246726,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246727,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246728,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246729,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246730,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246731,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246732,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246733,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246734,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246735,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246736,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246737,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246738,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246739,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246740,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246741,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246742,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246743,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246744,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246745,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246746,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246747,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246748,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV246749,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV260413,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260415,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260416,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260417,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260421,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260424,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260425,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260428,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260429,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260430,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260433,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260436,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260438,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260442,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260444,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260448,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260449,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260450,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260451,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260453,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260454,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260455,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260456,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260458,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260460,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260464,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260465,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260466,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV260468,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",USA: Massachusetts,USA
PV211704,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV211705,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV211706,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV211707,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV211708,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
PV211709,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.",USA: Minnesota,USA
