pos	good	ambiguous	bad
1	0	0	43
2	0	0	43
3	0	0	43
4	0	0	43
5	0	0	43
6	0	0	43
7	0	0	43
8	0	0	43
9	0	0	43
10	0	0	43
11	0	0	43
12	0	0	43
13	0	0	43
14	0	0	43
15	0	0	43
16	0	0	43
17	0	0	43
18	0	0	43
19	0	0	43
20	0	0	43
21	0	0	43
22	0	0	43
23	0	0	43
24	0	0	43
25	0	0	43
26	0	0	43
27	0	0	43
28	0	0	43
29	0	0	43
30	0	0	43
31	0	0	43
32	0	0	43
33	0	0	43
34	0	0	43
35	0	0	43
36	0	0	43
37	0	0	43
38	0	0	43
39	0	0	43
40	0	0	43
41	0	0	43
42	0	0	43
43	0	0	43
44	0	0	43
45	0	0	43
46	0	0	43
47	0	0	43
48	0	0	43
49	0	0	43
50	0	0	43
51	0	0	43
52	0	0	43
53	0	0	43
54	0	0	43
55	0	0	43
56	0	0	43
57	0	0	43
58	0	0	43
59	0	0	43
60	0	0	43
61	0	0	43
62	0	0	43
63	0	0	43
64	0	0	43
65	0	0	43
66	0	0	43
67	0	0	43
68	0	0	43
69	0	0	43
70	0	0	43
71	0	0	43
72	0	0	43
73	41	0	2
74	41	0	2
75	41	0	2
76	41	0	2
77	41	0	2
78	41	0	2
79	41	0	2
80	41	0	2
81	41	0	2
82	41	0	2
83	41	0	2
84	41	0	2
85	41	0	2
86	41	0	2
87	41	0	2
88	41	0	2
89	41	0	2
90	41	0	2
91	41	0	2
92	41	0	2
93	41	0	2
94	41	0	2
95	41	0	2
96	41	0	2
97	41	0	2
98	41	0	2
99	42	0	1
100	42	0	1
101	42	0	1
102	42	0	1
103	42	0	1
104	42	0	1
105	42	0	1
106	43	0	0
107	43	0	0
108	43	0	0
109	43	0	0
110	43	0	0
111	43	0	0
112	43	0	0
113	43	0	0
114	43	0	0
115	43	0	0
116	43	0	0
117	43	0	0
118	43	0	0
119	43	0	0
120	43	0	0
121	43	0	0
122	43	0	0
123	43	0	0
124	43	0	0
125	43	0	0
126	43	0	0
127	43	0	0
128	43	0	0
129	43	0	0
130	43	0	0
131	43	0	0
132	43	0	0
133	43	0	0
134	43	0	0
135	43	0	0
136	43	0	0
137	43	0	0
138	43	0	0
139	43	0	0
140	43	0	0
141	43	0	0
142	43	0	0
143	43	0	0
144	43	0	0
145	43	0	0
146	43	0	0
147	43	0	0
148	43	0	0
149	43	0	0
150	43	0	0
151	43	0	0
152	43	0	0
153	43	0	0
154	43	0	0
155	43	0	0
156	43	0	0
157	43	0	0
158	43	0	0
159	43	0	0
160	43	0	0
161	43	0	0
162	43	0	0
163	43	0	0
164	43	0	0
165	43	0	0
166	43	0	0
167	43	0	0
168	43	0	0
169	43	0	0
170	43	0	0
171	43	0	0
172	43	0	0
173	43	0	0
174	43	0	0
175	43	0	0
176	43	0	0
177	43	0	0
178	43	0	0
179	43	0	0
180	43	0	0
181	43	0	0
182	43	0	0
183	43	0	0
184	43	0	0
185	43	0	0
186	43	0	0
187	43	0	0
188	43	0	0
189	43	0	0
190	43	0	0
191	43	0	0
192	43	0	0
193	43	0	0
194	43	0	0
195	43	0	0
196	43	0	0
197	43	0	0
198	43	0	0
199	43	0	0
200	43	0	0
201	43	0	0
202	43	0	0
203	42	0	1
204	42	0	1
205	41	0	2
206	41	0	2
207	41	0	2
208	41	0	2
209	41	0	2
210	41	0	2
211	41	0	2
212	41	0	2
213	41	0	2
214	41	0	2
215	41	0	2
216	41	0	2
217	41	0	2
218	41	0	2
219	41	0	2
220	41	0	2
221	41	0	2
222	41	0	2
223	41	0	2
224	41	0	2
225	41	0	2
226	41	0	2
227	41	0	2
228	41	0	2
229	41	0	2
230	41	0	2
231	41	0	2
232	41	0	2
233	41	0	2
234	41	0	2
235	41	0	2
236	41	0	2
237	41	0	2
238	41	0	2
239	41	0	2
240	41	0	2
241	41	0	2
242	41	0	2
243	41	0	2
244	41	0	2
245	41	0	2
246	41	0	2
247	41	0	2
248	41	0	2
249	41	0	2
250	41	0	2
251	41	0	2
252	41	0	2
253	41	0	2
254	41	0	2
255	41	0	2
256	41	0	2
257	41	0	2
258	41	0	2
259	41	0	2
260	41	0	2
261	41	0	2
262	41	0	2
263	41	0	2
264	41	0	2
265	41	0	2
266	41	0	2
267	41	0	2
268	41	0	2
269	41	0	2
270	41	0	2
271	41	0	2
272	41	0	2
273	41	0	2
274	41	0	2
275	41	0	2
276	41	0	2
277	41	0	2
278	41	0	2
279	41	0	2
280	41	0	2
281	41	0	2
282	41	0	2
283	41	0	2
284	41	0	2
285	41	0	2
286	41	0	2
287	41	0	2
288	41	0	2
289	41	0	2
290	41	0	2
291	41	0	2
292	41	0	2
293	41	0	2
294	41	0	2
295	41	0	2
296	41	0	2
297	41	0	2
298	41	0	2
299	41	0	2
300	41	0	2
301	41	0	2
302	41	0	2
303	42	0	1
304	42	0	1
305	42	0	1
306	42	0	1
307	42	0	1
308	42	0	1
309	43	0	0
310	43	0	0
311	43	0	0
312	43	0	0
313	43	0	0
314	43	0	0
315	43	0	0
316	43	0	0
317	43	0	0
318	43	0	0
319	43	0	0
320	43	0	0
321	43	0	0
322	43	0	0
323	43	0	0
324	43	0	0
325	43	0	0
326	43	0	0
327	43	0	0
328	43	0	0
329	43	0	0
330	43	0	0
331	43	0	0
332	43	0	0
333	43	0	0
334	43	0	0
335	43	0	0
336	43	0	0
337	43	0	0
338	43	0	0
339	43	0	0
340	43	0	0
341	43	0	0
342	43	0	0
343	43	0	0
344	43	0	0
345	43	0	0
346	43	0	0
347	43	0	0
348	43	0	0
349	43	0	0
