accessionVersion	lineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs	diagnosticMeasurementValue	diagnosticMeasurementMethod	diagnosticMeasurementUnit
PP_002207E.1	B	2002	USA		Levitz, R.; Wattier, R.; Phillips, P.; Solomon, A.; Lawler, J.; Lazar, I.; Kahn, J. S.	University of Texas Southwestern Medical Center, Pediatrics and Microbiology	Homo sapiens	15216	2012-04-25	JQ582843.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JQ582843.1				0	0			
PP_002208C.1	B.D	2002	USA		Levitz, R.; Wattier, R.; Phillips, P.; Solomon, A.; Lawler, J.; Lazar, I.; Kahn, J. S.	University of Texas Southwestern Medical Center, Pediatrics and Microbiology	Homo sapiens	15283	2012-04-25	JQ582844.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9999343056103008			JQ582844.1				0	1			
PP_002282G.1	B.D	2008-10-23	Belgium		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15275	2013-06-08	JX576729.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9998686112206018			JX576729.1				2	0			
PP_002283E.1	B.D	2008-10-24	Belgium		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15276	2013-06-08	JX576730.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576730.1				0	0			
PP_002284C.1	B.D	2008-11-19	Belgium		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15274	2013-06-08	JX576731.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576731.1				0	0			
PP_002285A.1	B.D	2006-12-05	Belgium		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15276	2013-06-08	JX576732.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576732.1				0	0			
PP_0022868.1	B.D	2012-02-05	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15275	2013-06-08	JX576733.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576733.1				0	0			
PP_0022876.1	B.D	2012-01-29	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15275	2013-06-08	JX576734.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576734.1				0	0			
PP_0022884.1	B.D	2012-01-23	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15275	2013-06-08	JX576735.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576735.1				0	0			
PP_0022892.1	B.D	2012-01-07	Netherlands		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	Homo sapiens	15275	2013-06-08	JX576736.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			JX576736.1				0	0			
