	Yale-RSV-0026	Yale-RSV-0001	Yale-RSV-0006	Yale-RSV-0007	Yale-RSV-0020	Yale-RSV-0030	Yale-RSV-0037	Yale-RSV-0043	Yale-RSV-0053	Yale-RSV-0055	Yale-RSV-0061	Yale-RSV-0075	Yale-RSV-0076	Yale-RSV-0085
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	35	0	0	0	0	0	0	0	0
19	0	0	0	0	0	35	0	0	0	0	0	0	0	0
20	0	0	0	0	0	35	0	0	0	0	0	0	0	0
21	0	0	0	0	0	35	0	0	0	0	0	0	0	0
22	0	0	0	0	0	35	0	0	0	0	0	0	0	0
23	0	0	0	0	0	35	0	0	0	0	0	0	0	0
24	0	0	0	0	0	35	0	0	0	0	0	0	0	0
25	0	0	0	0	0	35	0	0	0	0	0	0	0	0
26	0	0	0	0	0	35	0	0	0	0	0	0	0	0
27	0	0	0	0	0	35	0	0	0	0	0	0	0	0
28	0	0	0	0	0	35	0	0	0	0	0	0	0	0
29	0	0	0	0	0	35	0	0	0	0	0	0	0	0
30	0	0	0	0	0	35	0	0	0	0	0	0	0	0
31	0	0	0	0	0	35	0	0	0	0	0	0	0	0
32	0	0	0	0	0	35	0	0	0	0	0	0	0	0
33	0	0	0	0	0	35	0	0	0	0	0	0	0	0
34	0	0	0	0	0	35	0	0	0	0	0	0	0	0
35	0	6	0	0	0	39	0	232	0	4	0	0	0	6
36	0	8	0	0	0	37	0	232	0	4	0	0	0	6
37	0	8	0	0	0	39	0	232	0	4	0	0	0	6
38	0	8	0	0	0	39	0	232	0	4	0	0	0	6
39	0	8	0	0	0	39	0	232	0	4	0	0	0	6
40	0	8	0	0	0	39	0	232	0	4	0	0	0	6
41	0	8	0	0	0	39	0	232	0	4	0	0	0	6
42	0	8	0	0	0	41	0	232	0	4	0	0	0	6
43	0	8	0	0	0	41	0	232	0	4	0	0	0	6
44	0	8	0	0	0	41	0	232	0	4	0	0	0	6
45	0	8	0	0	0	41	0	232	0	4	0	0	0	6
46	0	8	0	0	0	41	0	232	0	4	0	0	0	6
47	0	8	0	0	0	41	0	232	0	4	0	0	0	6
48	0	8	0	0	0	41	0	232	0	4	0	0	0	6
49	0	8	0	0	0	41	0	232	0	4	0	0	0	6
50	0	8	0	0	0	41	0	232	0	4	0	0	0	6
51	0	8	0	0	0	41	0	232	0	4	0	0	0	6
52	0	8	0	0	0	41	0	232	0	4	0	0	0	6
53	0	8	0	0	0	42	0	232	0	4	0	0	0	6
54	0	2	0	0	0	38	0	8	0	0	0	0	0	2
55	0	0	0	0	0	38	0	2	0	0	0	0	0	0
56	0	0	0	0	0	38	0	0	0	0	0	0	0	0
57	0	0	0	0	0	38	0	0	0	0	0	0	0	0
58	0	0	0	0	0	38	0	0	0	0	0	0	0	0
59	0	0	0	0	0	38	0	0	0	0	0	0	0	0
60	0	0	0	0	0	38	0	0	0	0	0	0	0	0
61	0	0	0	0	0	38	0	0	0	0	0	0	0	0
62	0	0	0	0	0	38	0	0	0	0	0	0	0	0
63	0	0	0	0	0	38	0	0	0	0	0	0	0	0
64	0	0	0	0	0	38	0	0	0	0	0	0	0	0
65	0	0	0	0	0	38	0	0	0	0	0	0	0	0
66	0	0	0	0	0	38	0	0	0	0	0	0	0	0
67	0	0	0	0	0	38	0	0	0	0	0	0	0	0
68	0	0	0	0	0	38	0	0	0	0	0	0	0	0
69	0	0	0	0	0	38	0	0	0	0	0	0	0	0
70	0	0	0	0	0	38	0	0	0	0	0	0	0	0
71	0	0	0	0	0	38	0	0	0	0	0	0	0	0
72	0	0	0	0	0	38	0	0	0	0	0	0	0	0
73	0	0	0	0	0	36	0	0	0	0	0	0	0	0
74	0	0	0	0	0	36	0	0	0	0	0	0	0	0
75	0	0	0	0	0	36	0	0	0	0	0	0	0	0
76	0	0	0	0	0	36	0	0	0	0	0	0	0	0
77	0	0	0	0	0	36	0	0	0	0	0	0	0	0
78	0	0	0	0	0	36	0	0	0	0	0	0	0	0
79	0	0	0	0	0	36	0	0	0	0	0	0	0	0
80	0	0	0	0	0	36	0	0	0	0	0	0	0	0
81	0	0	0	0	0	36	0	0	0	0	0	0	0	0
82	0	0	0	0	0	36	0	0	0	0	0	0	0	0
83	0	0	0	0	0	36	0	0	0	0	0	0	0	0
84	2	0	0	0	0	5	0	0	0	0	0	0	0	0
85	2	0	0	0	0	3	0	0	0	0	0	0	0	0
86	2	0	0	0	0	3	12	0	0	1	0	6	0	0
87	2	2	0	0	0	5	12	2	0	2	2	8	0	0
88	6	2	13	0	17	33	16	14	7	26	3	8	2	12
89	10	12	21	1	37	113	16	26	7	87	8	13	3	32
90	15	17	24	1	48	146	26	30	9	92	13	14	3	34
91	17	20	62	1	143	189	30	39	24	148	24	19	7	48
92	17	20	62	1	144	189	30	40	29	151	24	19	7	48
93	17	28	63	1	163	204	30	53	30	169	33	23	8	54
94	32	44	106	10	202	226	34	69	64	207	63	41	14	88
