sample	name	start	end	depth
Yale-RSV-0001	Amplicon 1	45	451	2482
Yale-RSV-0001	Amplicon 2	317	721	934
Yale-RSV-0001	Amplicon 3	622	1028	2314
Yale-RSV-0001	Amplicon 4	929	1340	9724
Yale-RSV-0001	Amplicon 5	1220	1655	20780
Yale-RSV-0001	Amplicon 6	1540	1970	3217
Yale-RSV-0001	Amplicon 7	1861	2363	2706
Yale-RSV-0001	Amplicon 8	2182	2587	35102
Yale-RSV-0001	Amplicon 9	2492	2897	17952
Yale-RSV-0001	Amplicon 10	2806	3201	22039
Yale-RSV-0001	Amplicon 11	3108	3512	25
Yale-RSV-0001	Amplicon 12	3425	3820	34656
Yale-RSV-0001	Amplicon 13	3724	4128	39601
Yale-RSV-0001	Amplicon 14	4040	4446	5379
Yale-RSV-0001	Amplicon 15	4325	4737	6
Yale-RSV-0001	Amplicon 16	4677	5031	18
Yale-RSV-0001	Amplicon 17	4949	5337	9
Yale-RSV-0001	Amplicon 18	5254	5659	4020
Yale-RSV-0001	Amplicon 19	5575	5981	37115
Yale-RSV-0001	Amplicon 20	5852	6259	17476
Yale-RSV-0001	Amplicon 21	6173	6569	124910
Yale-RSV-0001	Amplicon 22	6448	6851	81937
Yale-RSV-0001	Amplicon 23	6747	7158	13899
Yale-RSV-0001	Amplicon 24	7072	7468	23881
Yale-RSV-0001	Amplicon 25	7377	7776	31557
Yale-RSV-0001	Amplicon 26	7693	8093	60644
Yale-RSV-0001	Amplicon 27	8007	8408	22456
Yale-RSV-0001	Amplicon 28	8321	8714	14862
Yale-RSV-0001	Amplicon 29	8631	9036	2400
Yale-RSV-0001	Amplicon 30	8943	9353	4307
Yale-RSV-0001	Amplicon 31	9243	9656	70581
Yale-RSV-0001	Amplicon 32	9520	9932	27026
Yale-RSV-0001	Amplicon 33	9813	10223	31191
Yale-RSV-0001	Amplicon 34	9998	10495	34028
Yale-RSV-0001	Amplicon 35	10434	10829	40238
Yale-RSV-0001	Amplicon 36	10735	11133	27012
Yale-RSV-0001	Amplicon 37	10978	11382	63535
Yale-RSV-0001	Amplicon 38	11275	11669	101224
Yale-RSV-0001	Amplicon 39	11516	11921	19785
Yale-RSV-0001	Amplicon 40	11828	12229	15116
Yale-RSV-0001	Amplicon 41	12133	12530	21935
Yale-RSV-0001	Amplicon 42	12438	12808	61986
Yale-RSV-0001	Amplicon 43	12708	13109	1629
Yale-RSV-0001	Amplicon 44	13021	13414	79
Yale-RSV-0001	Amplicon 45	13321	13736	41
Yale-RSV-0001	Amplicon 46	13647	14040	4279
Yale-RSV-0001	Amplicon 47	13950	14354	25110
Yale-RSV-0001	Amplicon 48	14239	14648	42906
Yale-RSV-0001	Amplicon 49	14580	15020	652
Yale-RSV-0001	Amplicon 50	14816	0	-1
Yale-RSV-0002	Amplicon 1	45	451	2037
Yale-RSV-0002	Amplicon 2	317	721	5319
Yale-RSV-0002	Amplicon 3	622	1028	10815
Yale-RSV-0002	Amplicon 4	929	1340	94380
Yale-RSV-0002	Amplicon 5	1220	1655	59674
Yale-RSV-0002	Amplicon 6	1540	1970	12584
Yale-RSV-0002	Amplicon 7	1861	2363	47880
Yale-RSV-0002	Amplicon 8	2182	2587	3408
Yale-RSV-0002	Amplicon 9	2492	2897	6813
Yale-RSV-0002	Amplicon 10	2806	3201	48790
Yale-RSV-0002	Amplicon 11	3108	3512	49904
Yale-RSV-0002	Amplicon 12	3425	3820	49974
Yale-RSV-0002	Amplicon 13	3724	4128	15121
Yale-RSV-0002	Amplicon 14	4040	4446	47486
Yale-RSV-0002	Amplicon 15	4325	4737	14571
Yale-RSV-0002	Amplicon 16	4677	5031	12000
Yale-RSV-0002	Amplicon 17	4949	5337	4480
Yale-RSV-0002	Amplicon 18	5254	5659	37523
Yale-RSV-0002	Amplicon 19	5575	5981	10570
Yale-RSV-0002	Amplicon 20	5852	6259	23795
Yale-RSV-0002	Amplicon 21	6173	6569	47024
Yale-RSV-0002	Amplicon 22	6448	6851	111097
Yale-RSV-0002	Amplicon 23	6747	7158	16730
Yale-RSV-0002	Amplicon 24	7072	7468	33875
Yale-RSV-0002	Amplicon 25	7377	7776	18760
Yale-RSV-0002	Amplicon 26	7693	8093	141484
Yale-RSV-0002	Amplicon 27	8007	8408	41219
Yale-RSV-0002	Amplicon 28	8321	8714	72609
Yale-RSV-0002	Amplicon 29	8631	9036	51453
Yale-RSV-0002	Amplicon 30	8943	9353	51950
Yale-RSV-0002	Amplicon 31	9243	9656	20145
Yale-RSV-0002	Amplicon 32	9520	9932	30731
Yale-RSV-0002	Amplicon 33	9813	10223	3681
Yale-RSV-0002	Amplicon 34	9998	10495	96780
Yale-RSV-0002	Amplicon 35	10434	10829	91106
Yale-RSV-0002	Amplicon 36	10735	11133	205345
Yale-RSV-0002	Amplicon 37	10978	11382	73181
Yale-RSV-0002	Amplicon 38	11275	11669	5497
Yale-RSV-0002	Amplicon 39	11516	11921	59693
Yale-RSV-0002	Amplicon 40	11828	12229	17781
Yale-RSV-0002	Amplicon 41	12133	12530	54253
Yale-RSV-0002	Amplicon 42	12438	12808	90539
Yale-RSV-0002	Amplicon 43	12708	13109	90746
Yale-RSV-0002	Amplicon 44	13021	13414	11130
Yale-RSV-0002	Amplicon 45	13321	13736	6565
Yale-RSV-0002	Amplicon 46	13647	14040	85206
Yale-RSV-0002	Amplicon 47	13950	14354	191509
Yale-RSV-0002	Amplicon 48	14239	14648	50532
Yale-RSV-0002	Amplicon 49	14580	15020	177970
Yale-RSV-0002	Amplicon 50	14816	0	-1
Yale-RSV-0003	Amplicon 1	45	451	26776
Yale-RSV-0003	Amplicon 2	317	721	19767
Yale-RSV-0003	Amplicon 3	622	1028	14419
Yale-RSV-0003	Amplicon 4	929	1340	125958
Yale-RSV-0003	Amplicon 5	1220	1655	111745
Yale-RSV-0003	Amplicon 6	1540	1970	42771
Yale-RSV-0003	Amplicon 7	1861	2363	54113
Yale-RSV-0003	Amplicon 8	2182	2587	17856
Yale-RSV-0003	Amplicon 9	2492	2897	40869
Yale-RSV-0003	Amplicon 10	2806	3201	64508
Yale-RSV-0003	Amplicon 11	3108	3512	50194
Yale-RSV-0003	Amplicon 12	3425	3820	48540
Yale-RSV-0003	Amplicon 13	3724	4128	18188
Yale-RSV-0003	Amplicon 14	4040	4446	78194
Yale-RSV-0003	Amplicon 15	4325	4737	25615
Yale-RSV-0003	Amplicon 16	4677	5031	31656
Yale-RSV-0003	Amplicon 17	4949	5337	9179
Yale-RSV-0003	Amplicon 18	5254	5659	64621
Yale-RSV-0003	Amplicon 19	5575	5981	36543
Yale-RSV-0003	Amplicon 20	5852	6259	82708
Yale-RSV-0003	Amplicon 21	6173	6569	42087
Yale-RSV-0003	Amplicon 22	6448	6851	146409
Yale-RSV-0003	Amplicon 23	6747	7158	39004
Yale-RSV-0003	Amplicon 24	7072	7468	30442
