codon,alpha,beta,beta-alpha,Prob[alpha>beta],Prob[alpha<beta],BayesFactor[alpha<beta],x6,x7,dataset
0,3.544304796483781,0.3907908185343806,-3.153513977949401,0.7149885007568438,0.2397063508622513,0.5306646569369792,0,0,RSVB_M2-1_fubar_PGCOE
1,0.8460000086090745,0.3904315062249099,-0.4555685023841646,0.6289571590000123,0.3134801664736699,0.7685621036046625,0,0,RSVB_M2-1_fubar_PGCOE
2,3.17363862544284,1.381321709122548,-1.792316916320292,0.6499523985074952,0.2851477310235793,0.67139114085313,0,0,RSVB_M2-1_fubar_PGCOE
3,5.282540644197807,0.4317975381287085,-4.850743106069099,0.8979362451641772,0.08025177418108961,0.1468614019956335,0,0,RSVB_M2-1_fubar_PGCOE
4,1.556956998795751,1.078033089543423,-0.4789239092523283,0.5710646124879496,0.360662904752437,0.9494969166196877,0,0,RSVB_M2-1_fubar_PGCOE
5,0.5996098913394752,0.3859280455198859,-0.2136818458195893,0.5782701133261189,0.3573646723733979,0.9359852557245345,0,0,RSVB_M2-1_fubar_PGCOE
6,1.311167099802006,0.4023177481839774,-0.9088493516180284,0.7948996692348674,0.1645591221453445,0.3315341169915663,0,0,RSVB_M2-1_fubar_PGCOE
7,1.272160472917948,0.4897448270811717,-0.7824156458367764,0.6190410290042992,0.3276653409662484,0.8202891975578434,0,0,RSVB_M2-1_fubar_PGCOE
8,0.6976361192878682,0.3935367246500457,-0.3040993946378225,0.5998631567507037,0.3391191009792674,0.8636763717689426,0,0,RSVB_M2-1_fubar_PGCOE
9,2.766412279372004,0.4306453408566169,-2.335766938515387,0.8547959246734662,0.1152095551223018,0.2191644257432899,0,0,RSVB_M2-1_fubar_PGCOE
10,0.6626969120110142,0.434454890852427,-0.2282420211585872,0.5668653144628422,0.3715321176436878,0.9950279062253892,0,0,RSVB_M2-1_fubar_PGCOE
11,3.129909756808814,0.3878541629934249,-2.742055593815389,0.9311825186553011,0.05027319620913368,0.08909632445913127,0,0,RSVB_M2-1_fubar_PGCOE
12,1.676253765424972,0.4001891844590392,-1.276064580965932,0.8214400940667681,0.1424142315850102,0.2795102970524905,0,0,RSVB_M2-1_fubar_PGCOE
13,1.309599766315898,0.4023772749740352,-0.9072224913418632,0.7947218102681046,0.1647099051219713,0.3318977985219473,0,0,RSVB_M2-1_fubar_PGCOE
14,2.821336434531515,0.404651296930524,-2.416685137600991,0.9185007683572962,0.05987766178912933,0.1072018911920159,0,0,RSVB_M2-1_fubar_PGCOE
15,3.609426321491807,0.42602182323124,-3.183404498260567,0.9327857520914773,0.04854360215941333,0.0858746727834013,0,0,RSVB_M2-1_fubar_PGCOE
16,1.481923914349256,0.4149087954916517,-1.067015118857605,0.801818769877242,0.1589713945672785,0.3181487364698623,0,0,RSVB_M2-1_fubar_PGCOE
17,1.143169779927854,0.9757897273647379,-0.1673800525631156,0.4011077516780657,0.5415410681316308,1.988167385173347,0,0,RSVB_M2-1_fubar_PGCOE
18,1.201695441278422,0.4543232091846218,-0.7473722320938003,0.6280140479948512,0.3183757902291587,0.7861709913116405,0,0,RSVB_M2-1_fubar_PGCOE
19,2.645457800193772,0.3747312039151728,-2.270726596278599,0.9219892815760226,0.05748947420089418,0.1026654024025692,0,0,RSVB_M2-1_fubar_PGCOE
20,0.6086255177089968,0.4364859952926478,-0.1721395224163489,0.5499950004933507,0.3868364247994436,1.061874029201722,0,0,RSVB_M2-1_fubar_PGCOE
21,2.61733922203535,0.396053229600608,-2.221285992434742,0.914369864899137,0.06321169621352615,0.113573751323231,0,0,RSVB_M2-1_fubar_PGCOE
22,0.6911759960730329,0.4503865597142624,-0.2407894363587705,0.5658186972689037,0.373457977364027,1.003260057514343,0,0,RSVB_M2-1_fubar_PGCOE
23,1.669156094803223,0.4003347799345863,-1.268821314868637,0.8209947078797524,0.1427847583449946,0.2803586451989447,0,0,RSVB_M2-1_fubar_PGCOE
24,0.688315893968443,0.4856242282939831,-0.2026916656744598,0.5506167309925766,0.3889063111315749,1.071171917761868,0,0,RSVB_M2-1_fubar_PGCOE
25,1.30447184467136,0.4258631428003821,-0.8786087018709783,0.7823590191844242,0.1755382767527939,0.3583631282614351,0,0,RSVB_M2-1_fubar_PGCOE
26,1.681066526399888,0.369084192655265,-1.311982333744623,0.8377491706598671,0.1284622353264309,0.2480911376463059,0,0,RSVB_M2-1_fubar_PGCOE
27,6.039625560298799,0.4350118970510337,-5.604613663247766,0.9043699293623737,0.07510992169579526,0.1366876178332709,0,0,RSVB_M2-1_fubar_PGCOE
28,3.582289488140718,0.4602466872492654,-3.122042800891452,0.68328130950526,0.2704512133591619,0.6239597578844783,0,0,RSVB_M2-1_fubar_PGCOE
29,1.492096109850766,0.3617223045040274,-1.130373805346739,0.8309886933568372,0.1338219986174141,0.2600413118469586,0,0,RSVB_M2-1_fubar_PGCOE
30,3.214955148830082,1.013396962005361,-2.20155818682472,0.7509525364343195,0.1788258045367986,0.3665362059415004,0,0,RSVB_M2-1_fubar_PGCOE
31,0.6935718050653552,0.4269118107231833,-0.2666599943421719,0.5785309959763579,0.3606050106088358,0.949258543385991,0,0,RSVB_M2-1_fubar_PGCOE
32,1.052545052157564,0.3955700304807981,-0.6569750216767662,0.6482411205645542,0.2972188112494009,0.7118330541903389,0,0,RSVB_M2-1_fubar_PGCOE
33,0.6181932710149941,0.4684402497961508,-0.1497530212188433,0.5381434547325725,0.3994578821982649,1.119565508215253,0,0,RSVB_M2-1_fubar_PGCOE
