sample	name	start	end	depth
Yale-RSV-0001-1	NS1 	45	576	7982
Yale-RSV-0001-1	NS2 	596	1097	12048
Yale-RSV-0001-1	N 	1125	2329	8939
Yale-RSV-0001-1	P 	2331	3220	20559
Yale-RSV-0001-1	M 	3224	4180	18541
Yale-RSV-0001-1	SH 	4190	4599	9947
Yale-RSV-0001-1	G 	4644	5565	27252
Yale-RSV-0001-1	F 	5619	7521	25735
Yale-RSV-0001-1	M2 	7567	8527	37002
Yale-RSV-0001-1	L	8460	15037	17197
sample	name	start	end	depth
Yale-RSV-0002-1	NS1 	45	576	2732
Yale-RSV-0002-1	NS2 	596	1097	1103
Yale-RSV-0002-1	N 	1125	2329	22328
Yale-RSV-0002-1	P 	2331	3220	21328
Yale-RSV-0002-1	M 	3224	4180	22578
Yale-RSV-0002-1	SH 	4190	4599	487
Yale-RSV-0002-1	G 	4644	5565	3761
Yale-RSV-0002-1	F 	5619	7521	25980
Yale-RSV-0002-1	M2 	7567	8527	31080
Yale-RSV-0002-1	L	8460	15037	25313
sample	name	start	end	depth
Yale-RSV-0003-1	NS1 	45	576	2895
Yale-RSV-0003-1	NS2 	596	1097	3327
Yale-RSV-0003-1	N 	1125	2329	20346
Yale-RSV-0003-1	P 	2331	3220	19490
Yale-RSV-0003-1	M 	3224	4180	5052
Yale-RSV-0003-1	SH 	4190	4599	366
Yale-RSV-0003-1	G 	4644	5565	2971
Yale-RSV-0003-1	F 	5619	7521	17525
Yale-RSV-0003-1	M2 	7567	8527	15688
Yale-RSV-0003-1	L	8460	15037	18106
sample	name	start	end	depth
Yale-RSV-0004-1	NS1 	45	576	3187
Yale-RSV-0004-1	NS2 	596	1097	3895
Yale-RSV-0004-1	N 	1125	2329	23170
Yale-RSV-0004-1	P 	2331	3220	16969
Yale-RSV-0004-1	M 	3224	4180	8245
Yale-RSV-0004-1	SH 	4190	4599	9
Yale-RSV-0004-1	G 	4644	5565	1123
Yale-RSV-0004-1	F 	5619	7521	19781
Yale-RSV-0004-1	M2 	7567	8527	18465
Yale-RSV-0004-1	L	8460	15037	21960
sample	name	start	end	depth
Yale-RSV-0005-1	NS1 	45	576	2248
Yale-RSV-0005-1	NS2 	596	1097	63
Yale-RSV-0005-1	N 	1125	2329	10445
Yale-RSV-0005-1	P 	2331	3220	18079
Yale-RSV-0005-1	M 	3224	4180	4648
Yale-RSV-0005-1	SH 	4190	4599	229
Yale-RSV-0005-1	G 	4644	5565	442
Yale-RSV-0005-1	F 	5619	7521	14772
Yale-RSV-0005-1	M2 	7567	8527	38207
Yale-RSV-0005-1	L	8460	15037	14376
sample	name	start	end	depth
Yale-RSV-0006-1	NS1 	45	576	20845
Yale-RSV-0006-1	NS2 	596	1097	2672
Yale-RSV-0006-1	N 	1125	2329	17730
Yale-RSV-0006-1	P 	2331	3220	39611
Yale-RSV-0006-1	M 	3224	4180	51939
Yale-RSV-0006-1	SH 	4190	4599	3488
Yale-RSV-0006-1	G 	4644	5565	53565
Yale-RSV-0006-1	F 	5619	7521	71609
Yale-RSV-0006-1	M2 	7567	8527	90216
Yale-RSV-0006-1	L	8460	15037	50631
sample	name	start	end	depth
Yale-RSV-0007-1	NS1 	45	576	7879
Yale-RSV-0007-1	NS2 	596	1097	8405
Yale-RSV-0007-1	N 	1125	2329	8616
Yale-RSV-0007-1	P 	2331	3220	23918
Yale-RSV-0007-1	M 	3224	4180	19048
Yale-RSV-0007-1	SH 	4190	4599	6094
Yale-RSV-0007-1	G 	4644	5565	51065
Yale-RSV-0007-1	F 	5619	7521	73712
Yale-RSV-0007-1	M2 	7567	8527	57784
Yale-RSV-0007-1	L	8460	15037	34969
sample	name	start	end	depth
Yale-RSV-0008-1	NS1 	45	576	911
Yale-RSV-0008-1	NS2 	596	1097	22
Yale-RSV-0008-1	N 	1125	2329	3949
Yale-RSV-0008-1	P 	2331	3220	587
Yale-RSV-0008-1	M 	3224	4180	7065
Yale-RSV-0008-1	SH 	4190	4599	76
Yale-RSV-0008-1	G 	4644	5565	121
Yale-RSV-0008-1	F 	5619	7521	13071
Yale-RSV-0008-1	M2 	7567	8527	28474
Yale-RSV-0008-1	L	8460	15037	10791
sample	name	start	end	depth
Yale-RSV-0009-1	NS1 	45	576	2093
Yale-RSV-0009-1	NS2 	596	1097	2061
Yale-RSV-0009-1	N 	1125	2329	13155
Yale-RSV-0009-1	P 	2331	3220	10883
Yale-RSV-0009-1	M 	3224	4180	6591
Yale-RSV-0009-1	SH 	4190	4599	390
Yale-RSV-0009-1	G 	4644	5565	1935
Yale-RSV-0009-1	F 	5619	7521	12966
Yale-RSV-0009-1	M2 	7567	8527	12070
Yale-RSV-0009-1	L	8460	15037	21103
sample	name	start	end	depth
Yale-RSV-0011-1	NS1 	45	576	5971
Yale-RSV-0011-1	NS2 	596	1097	6320
Yale-RSV-0011-1	N 	1125	2329	44321
Yale-RSV-0011-1	P 	2331	3220	33922
Yale-RSV-0011-1	M 	3224	4180	15287
Yale-RSV-0011-1	SH 	4190	4599	790
Yale-RSV-0011-1	G 	4644	5565	1724
Yale-RSV-0011-1	F 	5619	7521	34669
Yale-RSV-0011-1	M2 	7567	8527	34543
Yale-RSV-0011-1	L	8460	15037	37642
sample	name	start	end	depth
Yale-RSV-0012-1	NS1 	45	576	3023
Yale-RSV-0012-1	NS2 	596	1097	1803
Yale-RSV-0012-1	N 	1125	2329	18975
Yale-RSV-0012-1	P 	2331	3220	16677
Yale-RSV-0012-1	M 	3224	4180	2780
Yale-RSV-0012-1	SH 	4190	4599	334
Yale-RSV-0012-1	G 	4644	5565	797
Yale-RSV-0012-1	F 	5619	7521	17806
Yale-RSV-0012-1	M2 	7567	8527	22681
Yale-RSV-0012-1	L	8460	15037	20675
sample	name	start	end	depth
Yale-RSV-0013-1	NS1 	45	576	5285
Yale-RSV-0013-1	NS2 	596	1097	1051
Yale-RSV-0013-1	N 	1125	2329	29553
Yale-RSV-0013-1	P 	2331	3220	24238
Yale-RSV-0013-1	M 	3224	4180	9083
Yale-RSV-0013-1	SH 	4190	4599	501
Yale-RSV-0013-1	G 	4644	5565	1528
Yale-RSV-0013-1	F 	5619	7521	27829
Yale-RSV-0013-1	M2 	7567	8527	28551
Yale-RSV-0013-1	L	8460	15037	28415
sample	name	start	end	depth
Yale-RSV-0014-1	NS1 	45	576	872
Yale-RSV-0014-1	NS2 	596	1097	4283
Yale-RSV-0014-1	N 	1125	2329	28022
Yale-RSV-0014-1	P 	2331	3220	21780
Yale-RSV-0014-1	M 	3224	4180	9079
Yale-RSV-0014-1	SH 	4190	4599	397
Yale-RSV-0014-1	G 	4644	5565	4306
Yale-RSV-0014-1	F 	5619	7521	24165
Yale-RSV-0014-1	M2 	7567	8527	23731
Yale-RSV-0014-1	L	8460	15037	43392
sample	name	start	end	depth
Yale-RSV-0015-1	NS1 	45	576	2379
Yale-RSV-0015-1	NS2 	596	1097	1974
Yale-RSV-0015-1	N 	1125	2329	21787
Yale-RSV-0015-1	P 	2331	3220	18673
Yale-RSV-0015-1	M 	3224	4180	18754
Yale-RSV-0015-1	SH 	4190	4599	495
Yale-RSV-0015-1	G 	4644	5565	3547
