"sample"	"name"	"start"	"end"	"depth"
"Yale-RSV-0002-1"	"Amplicon 1"	"45"	"451"	11563
"Yale-RSV-0002-1"	"Amplicon 2"	"317"	"721"	14571
"Yale-RSV-0002-1"	"Amplicon 3"	"622"	"1028"	6875
"Yale-RSV-0002-1"	"Amplicon 4"	"929"	"1340"	31905
"Yale-RSV-0002-1"	"Amplicon 5"	"1220"	"1655"	50502
"Yale-RSV-0002-1"	"Amplicon 6"	"1540"	"1970"	32613
"Yale-RSV-0002-1"	"Amplicon 7"	"1861"	"2363"	35692
"Yale-RSV-0002-1"	"Amplicon 8"	"2182"	"2587"	21670
"Yale-RSV-0002-1"	"Amplicon 9"	"2492"	"2897"	22386
"Yale-RSV-0002-1"	"Amplicon 10"	"2806"	"3201"	78115
"Yale-RSV-0002-1"	"Amplicon 11"	"3108"	"3512"	30757
"Yale-RSV-0002-1"	"Amplicon 12"	"3425"	"3820"	78009
"Yale-RSV-0002-1"	"Amplicon 13"	"3724"	"4128"	46685
"Yale-RSV-0002-1"	"Amplicon 14"	"4040"	"4446"	52588
"Yale-RSV-0002-1"	"Amplicon 15"	"4325"	"4737"	40404
"Yale-RSV-0002-1"	"Amplicon 16"	"4677"	"5031"	42700
"Yale-RSV-0002-1"	"Amplicon 17"	"4949"	"5337"	49739
"Yale-RSV-0002-1"	"Amplicon 18"	"5254"	"5659"	57887
"Yale-RSV-0002-1"	"Amplicon 19"	"5575"	"5981"	121757
"Yale-RSV-0002-1"	"Amplicon 20"	"5852"	"6259"	98928
"Yale-RSV-0002-1"	"Amplicon 21"	"6173"	"6569"	66699
"Yale-RSV-0002-1"	"Amplicon 22"	"6448"	"6851"	85040
"Yale-RSV-0002-1"	"Amplicon 23"	"6747"	"7158"	27565
"Yale-RSV-0002-1"	"Amplicon 24"	"7072"	"7468"	38842
"Yale-RSV-0002-1"	"Amplicon 25"	"7377"	"7776"	48329
"Yale-RSV-0002-1"	"Amplicon 26"	"7693"	"8093"	105193
"Yale-RSV-0002-1"	"Amplicon 27"	"8007"	"8408"	43743
"Yale-RSV-0002-1"	"Amplicon 28"	"8321"	"8714"	29402
"Yale-RSV-0002-1"	"Amplicon 29"	"8631"	"9036"	54534
"Yale-RSV-0002-1"	"Amplicon 30"	"8943"	"9353"	17525
"Yale-RSV-0002-1"	"Amplicon 31"	"9243"	"9656"	27509
"Yale-RSV-0002-1"	"Amplicon 32"	"9520"	"9932"	41123
"Yale-RSV-0002-1"	"Amplicon 33"	"9813"	"10223"	5864
"Yale-RSV-0002-1"	"Amplicon 34"	"9998"	"10495"	3296
"Yale-RSV-0002-1"	"Amplicon 35"	"10434"	"10829"	47287
"Yale-RSV-0002-1"	"Amplicon 36"	"10735"	"11133"	122911
"Yale-RSV-0002-1"	"Amplicon 37"	"10978"	"11382"	44191
"Yale-RSV-0002-1"	"Amplicon 38"	"11275"	"11669"	11492
"Yale-RSV-0002-1"	"Amplicon 39"	"11516"	"11921"	32532
"Yale-RSV-0002-1"	"Amplicon 40"	"11828"	"12229"	66622
"Yale-RSV-0002-1"	"Amplicon 41"	"12133"	"12530"	43597
"Yale-RSV-0002-1"	"Amplicon 42"	"12438"	"12808"	68691
"Yale-RSV-0002-1"	"Amplicon 43"	"12708"	"13109"	17883
"Yale-RSV-0002-1"	"Amplicon 44"	"13021"	"13414"	43482
"Yale-RSV-0002-1"	"Amplicon 45"	"13321"	"13736"	22215
"Yale-RSV-0002-1"	"Amplicon 46"	"13647"	"14040"	77122
"Yale-RSV-0002-1"	"Amplicon 47"	"13950"	"14354"	39452
"Yale-RSV-0002-1"	"Amplicon 48"	"14239"	"14648"	51365
"Yale-RSV-0002-1"	"Amplicon 49"	"14580"	"15020"	32996
"Yale-RSV-0002-1"	"Amplicon 50"	"14816"	"0"	-1
"sample"	NA	"start"	"end"	NA
"Yale-RSV-0003-1"	"Amplicon 1"	"45"	"451"	13370
"Yale-RSV-0003-1"	"Amplicon 2"	"317"	"721"	23290
"Yale-RSV-0003-1"	"Amplicon 3"	"622"	"1028"	11546
"Yale-RSV-0003-1"	"Amplicon 4"	"929"	"1340"	27970
"Yale-RSV-0003-1"	"Amplicon 5"	"1220"	"1655"	41255
"Yale-RSV-0003-1"	"Amplicon 6"	"1540"	"1970"	44018
"Yale-RSV-0003-1"	"Amplicon 7"	"1861"	"2363"	33360
"Yale-RSV-0003-1"	"Amplicon 8"	"2182"	"2587"	35090
"Yale-RSV-0003-1"	"Amplicon 9"	"2492"	"2897"	24123
"Yale-RSV-0003-1"	"Amplicon 10"	"2806"	"3201"	41529
"Yale-RSV-0003-1"	"Amplicon 11"	"3108"	"3512"	19470
"Yale-RSV-0003-1"	"Amplicon 12"	"3425"	"3820"	40643
"Yale-RSV-0003-1"	"Amplicon 13"	"3724"	"4128"	25999
"Yale-RSV-0003-1"	"Amplicon 14"	"4040"	"4446"	38940
"Yale-RSV-0003-1"	"Amplicon 15"	"4325"	"4737"	26848
"Yale-RSV-0003-1"	"Amplicon 16"	"4677"	"5031"	33184
"Yale-RSV-0003-1"	"Amplicon 17"	"4949"	"5337"	35857
"Yale-RSV-0003-1"	"Amplicon 18"	"5254"	"5659"	39643
"Yale-RSV-0003-1"	"Amplicon 19"	"5575"	"5981"	74674
"Yale-RSV-0003-1"	"Amplicon 20"	"5852"	"6259"	90792
"Yale-RSV-0003-1"	"Amplicon 21"	"6173"	"6569"	52782
"Yale-RSV-0003-1"	"Amplicon 22"	"6448"	"6851"	51772
"Yale-RSV-0003-1"	"Amplicon 23"	"6747"	"7158"	27219
"Yale-RSV-0003-1"	"Amplicon 24"	"7072"	"7468"	21769
"Yale-RSV-0003-1"	"Amplicon 25"	"7377"	"7776"	29458
"Yale-RSV-0003-1"	"Amplicon 26"	"7693"	"8093"	53016
"Yale-RSV-0003-1"	"Amplicon 27"	"8007"	"8408"	24504
"Yale-RSV-0003-1"	"Amplicon 28"	"8321"	"8714"	21369
"Yale-RSV-0003-1"	"Amplicon 29"	"8631"	"9036"	41689
"Yale-RSV-0003-1"	"Amplicon 30"	"8943"	"9353"	18401
"Yale-RSV-0003-1"	"Amplicon 31"	"9243"	"9656"	20788
"Yale-RSV-0003-1"	"Amplicon 32"	"9520"	"9932"	28561
"Yale-RSV-0003-1"	"Amplicon 33"	"9813"	"10223"	3341
"Yale-RSV-0003-1"	"Amplicon 34"	"9998"	"10495"	1896
"Yale-RSV-0003-1"	"Amplicon 35"	"10434"	"10829"	27032
"Yale-RSV-0003-1"	"Amplicon 36"	"10735"	"11133"	69501
"Yale-RSV-0003-1"	"Amplicon 37"	"10978"	"11382"	43842
"Yale-RSV-0003-1"	"Amplicon 38"	"11275"	"11669"	40021
"Yale-RSV-0003-1"	"Amplicon 39"	"11516"	"11921"	35026
"Yale-RSV-0003-1"	"Amplicon 40"	"11828"	"12229"	55763
"Yale-RSV-0003-1"	"Amplicon 41"	"12133"	"12530"	30091
"Yale-RSV-0003-1"	"Amplicon 42"	"12438"	"12808"	33786
"Yale-RSV-0003-1"	"Amplicon 43"	"12708"	"13109"	13684
"Yale-RSV-0003-1"	"Amplicon 44"	"13021"	"13414"	33858
"Yale-RSV-0003-1"	"Amplicon 45"	"13321"	"13736"	16329
"Yale-RSV-0003-1"	"Amplicon 46"	"13647"	"14040"	47553
"Yale-RSV-0003-1"	"Amplicon 47"	"13950"	"14354"	24988
"Yale-RSV-0003-1"	"Amplicon 48"	"14239"	"14648"	30964
"Yale-RSV-0003-1"	"Amplicon 49"	"14580"	"15020"	28604
"Yale-RSV-0003-1"	"Amplicon 50"	"14816"	"0"	-1
"sample"	NA	"start"	"end"	NA
"Yale-RSV-0004-1"	"Amplicon 1"	"45"	"451"	15540
"Yale-RSV-0004-1"	"Amplicon 2"	"317"	"721"	30686
"Yale-RSV-0004-1"	"Amplicon 3"	"622"	"1028"	15222
"Yale-RSV-0004-1"	"Amplicon 4"	"929"	"1340"	28205
"Yale-RSV-0004-1"	"Amplicon 5"	"1220"	"1655"	44398
"Yale-RSV-0004-1"	"Amplicon 6"	"1540"	"1970"	63554
"Yale-RSV-0004-1"	"Amplicon 7"	"1861"	"2363"	36604
"Yale-RSV-0004-1"	"Amplicon 8"	"2182"	"2587"	30945
"Yale-RSV-0004-1"	"Amplicon 9"	"2492"	"2897"	25501
"Yale-RSV-0004-1"	"Amplicon 10"	"2806"	"3201"	46448
"Yale-RSV-0004-1"	"Amplicon 11"	"3108"	"3512"	35863
"Yale-RSV-0004-1"	"Amplicon 12"	"3425"	"3820"	47949
"Yale-RSV-0004-1"	"Amplicon 13"	"3724"	"4128"	28052
"Yale-RSV-0004-1"	"Amplicon 14"	"4040"	"4446"	41675
"Yale-RSV-0004-1"	"Amplicon 15"	"4325"	"4737"	24277
"Yale-RSV-0004-1"	"Amplicon 16"	"4677"	"5031"	13441
"Yale-RSV-0004-1"	"Amplicon 17"	"4949"	"5337"	12956
"Yale-RSV-0004-1"	"Amplicon 18"	"5254"	"5659"	12843
"Yale-RSV-0004-1"	"Amplicon 19"	"5575"	"5981"	77867
"Yale-RSV-0004-1"	"Amplicon 20"	"5852"	"6259"	111840
"Yale-RSV-0004-1"	"Amplicon 21"	"6173"	"6569"	61111
"Yale-RSV-0004-1"	"Amplicon 22"	"6448"	"6851"	58241
"Yale-RSV-0004-1"	"Amplicon 23"	"6747"	"7158"	30238
"Yale-RSV-0004-1"	"Amplicon 24"	"7072"	"7468"	23489
"Yale-RSV-0004-1"	"Amplicon 25"	"7377"	"7776"	31846
"Yale-RSV-0004-1"	"Amplicon 26"	"7693"	"8093"	56055
"Yale-RSV-0004-1"	"Amplicon 27"	"8007"	"8408"	30892
"Yale-RSV-0004-1"	"Amplicon 28"	"8321"	"8714"	45058
"Yale-RSV-0004-1"	"Amplicon 29"	"8631"	"9036"	43033
"Yale-RSV-0004-1"	"Amplicon 30"	"8943"	"9353"	19434
"Yale-RSV-0004-1"	"Amplicon 31"	"9243"	"9656"	20181
"Yale-RSV-0004-1"	"Amplicon 32"	"9520"	"9932"	26545
"Yale-RSV-0004-1"	"Amplicon 33"	"9813"	"10223"	5412
"Yale-RSV-0004-1"	"Amplicon 34"	"9998"	"10495"	2824
"Yale-RSV-0004-1"	"Amplicon 35"	"10434"	"10829"	27481
"Yale-RSV-0004-1"	"Amplicon 36"	"10735"	"11133"	73400
"Yale-RSV-0004-1"	"Amplicon 37"	"10978"	"11382"	48974
"Yale-RSV-0004-1"	"Amplicon 38"	"11275"	"11669"	44647
"Yale-RSV-0004-1"	"Amplicon 39"	"11516"	"11921"	44759
"Yale-RSV-0004-1"	"Amplicon 40"	"11828"	"12229"	80254
"Yale-RSV-0004-1"	"Amplicon 41"	"12133"	"12530"	48106
"Yale-RSV-0004-1"	"Amplicon 42"	"12438"	"12808"	50574
"Yale-RSV-0004-1"	"Amplicon 43"	"12708"	"13109"	17758
