pos	good	ambiguous	bad
1	1	0	127
2	1	0	127
3	2	0	126
4	2	0	126
5	2	0	126
6	2	0	126
7	2	0	126
8	2	0	126
9	2	0	126
10	2	0	126
11	2	0	126
12	2	0	126
13	2	0	126
14	2	0	126
15	2	0	126
16	2	0	126
17	2	0	126
18	2	0	126
19	2	0	126
20	2	0	126
21	2	0	126
22	2	0	126
23	2	0	126
24	2	0	126
25	2	0	126
26	2	0	126
27	2	0	126
28	4	0	124
29	4	0	124
30	4	0	124
31	4	0	124
32	4	0	124
33	4	0	124
34	4	0	124
35	4	0	124
36	4	0	124
37	4	0	124
38	4	0	124
39	4	0	124
40	4	0	124
41	4	0	124
42	4	0	124
43	4	0	124
44	4	0	124
45	4	0	124
46	4	0	124
47	4	0	124
48	4	0	124
49	4	0	124
50	4	0	124
51	4	0	124
52	4	0	124
53	4	0	124
54	4	0	124
55	4	0	124
56	4	0	124
57	4	0	124
58	4	0	124
59	4	0	124
60	4	0	124
61	4	0	124
62	4	0	124
63	4	0	124
64	4	0	124
65	4	0	124
66	4	0	124
67	4	0	124
68	4	0	124
69	4	0	124
70	4	0	124
71	4	0	124
72	4	0	124
73	117	0	11
74	117	0	11
75	117	0	11
76	117	0	11
77	117	0	11
78	117	0	11
79	117	0	11
80	117	0	11
81	117	0	11
82	117	0	11
83	117	0	11
84	118	0	10
85	118	0	10
86	118	0	10
87	118	0	10
88	118	0	10
89	118	0	10
90	118	0	10
91	118	0	10
92	118	0	10
93	118	0	10
94	118	0	10
95	118	0	10
96	118	0	10
97	118	0	10
98	118	0	10
99	119	0	9
100	119	0	9
101	119	0	9
102	119	0	9
103	119	0	9
104	119	0	9
105	119	0	9
106	120	0	8
107	120	0	8
108	120	0	8
109	120	0	8
110	118	2	8
111	120	0	8
112	120	0	8
113	120	0	8
114	118	2	8
115	120	0	8
116	120	0	8
117	120	0	8
118	120	0	8
119	118	2	8
120	120	0	8
121	120	0	8
122	120	0	8
123	121	0	7
124	121	0	7
125	121	0	7
126	121	0	7
127	121	0	7
128	119	2	7
129	121	0	7
130	121	0	7
131	121	0	7
132	121	0	7
133	121	0	7
134	121	0	7
135	121	0	7
136	121	0	7
137	119	2	7
138	121	0	7
139	121	0	7
140	121	0	7
141	121	0	7
142	121	0	7
143	121	0	7
144	119	2	7
145	121	0	7
146	121	0	7
147	121	0	7
148	121	0	7
149	121	0	7
150	121	0	7
151	121	0	7
152	119	2	7
153	121	0	7
154	121	0	7
155	121	0	7
156	121	0	7
157	121	0	7
158	119	2	7
159	121	0	7
160	121	0	7
161	121	0	7
162	121	0	7
163	121	0	7
164	121	0	7
165	121	0	7
166	121	0	7
167	121	0	7
168	121	0	7
169	121	0	7
170	121	0	7
171	121	0	7
172	121	0	7
173	121	0	7
174	121	0	7
175	121	0	7
176	121	0	7
177	121	0	7
178	121	0	7
179	121	0	7
180	121	0	7
181	121	0	7
182	121	0	7
183	121	0	7
184	121	0	7
185	119	2	7
186	121	0	7
187	121	0	7
188	121	0	7
189	121	0	7
190	121	0	7
191	121	0	7
192	121	0	7
193	121	0	7
194	121	0	7
195	121	0	7
196	121	0	7
197	121	0	7
198	121	0	7
199	121	0	7
200	121	0	7
201	121	0	7
202	121	0	7
203	120	0	8
204	120	0	8
205	119	0	9
206	119	0	9
207	119	0	9
208	119	0	9
209	119	0	9
210	119	0	9
211	119	0	9
212	119	0	9
213	119	0	9
214	119	0	9
215	119	0	9
216	119	0	9
217	119	0	9
218	119	0	9
219	119	0	9
220	119	0	9
221	119	0	9
222	119	0	9
223	119	0	9
224	119	0	9
225	119	0	9
226	119	0	9
227	119	0	9
228	119	0	9
229	119	0	9
230	119	0	9
231	119	0	9
232	119	0	9
233	119	0	9
234	119	0	9
235	119	0	9
236	119	0	9
237	119	0	9
238	119	0	9
239	119	0	9
240	119	0	9
241	119	0	9
242	119	0	9
243	119	0	9
244	119	0	9
245	119	0	9
246	119	0	9
247	119	0	9
248	119	0	9
249	119	0	9
250	119	0	9
251	119	0	9
252	119	0	9
253	119	0	9
254	119	0	9
255	119	0	9
256	119	0	9
257	119	0	9
258	119	0	9
259	119	0	9
260	119	0	9
261	119	0	9
262	119	0	9
263	119	0	9
264	119	0	9
265	119	0	9
266	119	0	9
267	119	0	9
268	119	0	9
269	119	0	9
270	119	0	9
271	119	0	9
272	119	0	9
273	119	0	9
274	119	0	9
275	119	0	9
276	119	0	9
277	119	0	9
278	119	0	9
279	119	0	9
280	119	0	9
281	119	0	9
282	119	0	9
283	119	0	9
284	118	0	10
285	118	0	10
286	118	0	10
287	118	0	10
288	118	0	10
289	118	0	10
290	119	0	9
291	119	0	9
292	119	0	9
293	119	0	9
294	119	0	9
295	119	0	9
296	119	0	9
297	118	0	10
298	118	0	10
299	118	0	10
300	118	0	10
301	118	0	10
302	118	0	10
303	120	0	8
304	120	0	8
305	120	0	8
306	120	0	8
307	120	0	8
308	120	0	8
309	121	0	7
310	121	0	7
311	121	0	7
312	121	0	7
313	121	0	7
314	121	0	7
315	121	0	7
316	121	0	7
317	121	0	7
318	121	0	7
319	121	0	7
320	121	0	7
321	121	0	7
322	121	0	7
323	120	1	7
324	121	0	7
325	121	0	7
326	120	1	7
327	121	0	7
328	121	0	7
329	119	1	8
330	120	0	8
331	120	0	8
332	120	0	8
333	120	0	8
334	120	0	8
335	120	0	8
336	120	0	8
337	120	0	8
338	120	0	8
339	120	0	8
340	120	0	8
341	120	0	8
342	119	1	8
343	120	0	8
344	123	0	5
345	123	0	5
346	123	0	5
347	123	0	5
348	123	0	5
349	123	0	5
350	123	0	5
351	123	0	5
352	123	0	5
353	123	0	5
354	123	0	5
355	123	0	5
356	123	0	5
357	123	0	5
358	123	0	5
359	123	0	5
360	123	0	5
361	123	0	5
362	123	0	5
363	123	0	5
364	123	0	5
365	123	0	5
366	123	0	5
367	123	0	5
368	123	0	5
369	123	0	5
370	123	0	5
371	123	0	5
372	123	0	5
373	123	0	5
374	123	0	5
375	123	0	5
376	123	0	5
377	123	0	5
378	123	0	5
