target,gene,clade,n_tips,rLR,rp,rK,rpos,bLR,bp,bpos
RSVB,SH,B.D.E.7,0,,,,,,,
RSVB,SH,B.D.E.6,1,,,,,,,
RSVB,SH,B.D.E.5,0,,,,,,,
RSVB,SH,B.D.E.1.8,0,,,,,,,
RSVB,SH,B.D.E.1.7,0,,,,,,,
RSVB,SH,B.D.E.1.4,1,,,,,,,
RSVB,SH,B.D.E.1.3,0,,,,,,,
RSVB,SH,B.D.E.1.2,3,,,,,,,
RSVB,SH,B.D.E.1.1,0,,,,,,,
RSVB,SH,B.D.E.1,36,2.936873944836861,0.08657814062938518,0.1584249664619247,NS,0,0.5,NS
RSVB,SH,B.D.4.1.3,3,,,,,,,
RSVB,SH,B.D.4.1.1,9,5.130679824105755e-05,0.9942849003850754,0.9839707380805691,NS,0,0.5,NS
RSVB,SH,B.D.4.1,2,,,,,,,
RSVB,P,B.D.E.7,1,,,,,,,
RSVB,P,B.D.E.6,1,,,,,,,
RSVB,P,B.D.E.5,2,,,,,,,
RSVB,P,B.D.E.1.8,5,1.334026237504986,0.2480902071491983,38.8129477746021,NS,0,0.5,NS
RSVB,P,B.D.E.1.7,1,,,,,,,
RSVB,P,B.D.E.1.4,1,,,,,,,
RSVB,P,B.D.E.1.3,2,,,,,,,
RSVB,P,B.D.E.1.2,4,,,,,,,
RSVB,P,B.D.E.1.1,3,,,,,,,
RSVB,P,B.D.E.1,136,0.6267046272459993,0.4285666610633674,0.8792826084570877,NS,0,0.5,NS
RSVB,P,B.D.4.1.3,5,0.307536375284144,0.5791959133046687,0.6694640471680737,NS,1.321403380206903,0.2582443961056161,NS
RSVB,P,B.D.4.1.1,13,1.003685349460284,0.3164204014172685,0.8193682340612134,NS,0,0.5,NS
RSVB,P,B.D.4.1,3,,,,,,,
RSVB,NS2,B.D.E.7,1,,,,,,,
RSVB,NS2,B.D.E.6,1,,,,,,,
RSVB,NS2,B.D.E.5,2,,,,,,,
RSVB,NS2,B.D.E.1.8,1,,,,,,,
RSVB,NS2,B.D.E.1.7,0,,,,,,,
