sample	name	start	end	depth
Yale-RSV-0002-1	NS1 gene	45	577	12471
Yale-RSV-0002-1	NS2 gene	594	1098	9935
Yale-RSV-0002-1	N gene	1125	2327	40470
Yale-RSV-0002-1	P gene	2331	3244	41498
Yale-RSV-0002-1	M gene	3254	4208	52342
Yale-RSV-0002-1	SH gene	4218	4630	45559
Yale-RSV-0002-1	G gene	4675	5600	49194
Yale-RSV-0002-1	F gene	5653	7552	70283
Yale-RSV-0002-1	M2 gene	7609	8568	64853
Yale-RSV-0002-1	L gene	8501	15080	41131
sample	name	start	end	depth
Yale-RSV-0003-1	NS1 gene	45	577	16756
Yale-RSV-0003-1	NS2 gene	594	1098	13887
Yale-RSV-0003-1	N gene	1125	2327	38111
Yale-RSV-0003-1	P gene	2331	3244	32291
Yale-RSV-0003-1	M gene	3254	4208	30291
Yale-RSV-0003-1	SH gene	4218	4630	31200
Yale-RSV-0003-1	G gene	4675	5600	36267
Yale-RSV-0003-1	F gene	5653	7552	50800
Yale-RSV-0003-1	M2 gene	7609	8568	34922
Yale-RSV-0003-1	L gene	8501	15080	30226
sample	name	start	end	depth
Yale-RSV-0004-1	NS1 gene	45	577	20721
Yale-RSV-0004-1	NS2 gene	594	1098	17401
Yale-RSV-0004-1	N gene	1125	2327	45173
Yale-RSV-0004-1	P gene	2331	3244	34242
Yale-RSV-0004-1	M gene	3254	4208	38021
Yale-RSV-0004-1	SH gene	4218	4630	30844
Yale-RSV-0004-1	G gene	4675	5600	12188
Yale-RSV-0004-1	F gene	5653	7552	58184
Yale-RSV-0004-1	M2 gene	7609	8568	44637
Yale-RSV-0004-1	L gene	8501	15080	35551
sample	name	start	end	depth
Yale-RSV-0005-1	NS1 gene	45	577	8224
Yale-RSV-0005-1	NS2 gene	594	1098	1827
Yale-RSV-0005-1	N gene	1125	2327	18473
Yale-RSV-0005-1	P gene	2331	3244	36021
Yale-RSV-0005-1	M gene	3254	4208	38921
Yale-RSV-0005-1	SH gene	4218	4630	22698
Yale-RSV-0005-1	G gene	4675	5600	832
Yale-RSV-0005-1	F gene	5653	7552	34817
Yale-RSV-0005-1	M2 gene	7609	8568	72336
Yale-RSV-0005-1	L gene	8501	15080	24692
sample	name	start	end	depth
Yale-RSV-0008-1	NS1 gene	45	577	2807
Yale-RSV-0008-1	NS2 gene	594	1098	1553
Yale-RSV-0008-1	N gene	1125	2327	6808
Yale-RSV-0008-1	P gene	2331	3244	408
Yale-RSV-0008-1	M gene	3254	4208	19668
Yale-RSV-0008-1	SH gene	4218	4630	6232
Yale-RSV-0008-1	G gene	4675	5600	275
Yale-RSV-0008-1	F gene	5653	7552	26610
Yale-RSV-0008-1	M2 gene	7609	8568	49686
Yale-RSV-0008-1	L gene	8501	15080	16593
sample	name	start	end	depth
Yale-RSV-0009-1	NS1 gene	45	577	10741
Yale-RSV-0009-1	NS2 gene	594	1098	9336
Yale-RSV-0009-1	N gene	1125	2327	23661
Yale-RSV-0009-1	P gene	2331	3244	21008
Yale-RSV-0009-1	M gene	3254	4208	26526
Yale-RSV-0009-1	SH gene	4218	4630	22069
Yale-RSV-0009-1	G gene	4675	5600	19543
Yale-RSV-0009-1	F gene	5653	7552	37090
Yale-RSV-0009-1	M2 gene	7609	8568	28042
Yale-RSV-0009-1	L gene	8501	15080	32888
sample	name	start	end	depth
Yale-RSV-0011-1	NS1 gene	45	577	33962
Yale-RSV-0011-1	NS2 gene	594	1098	29238
Yale-RSV-0011-1	N gene	1125	2327	81220
Yale-RSV-0011-1	P gene	2331	3244	62190
Yale-RSV-0011-1	M gene	3254	4208	73218
Yale-RSV-0011-1	SH gene	4218	4630	74702
Yale-RSV-0011-1	G gene	4675	5600	9371
Yale-RSV-0011-1	F gene	5653	7552	104327
Yale-RSV-0011-1	M2 gene	7609	8568	84347
Yale-RSV-0011-1	L gene	8501	15080	63353
sample	name	start	end	depth
Yale-RSV-0012-1	NS1 gene	45	577	13057
Yale-RSV-0012-1	NS2 gene	594	1098	9304
Yale-RSV-0012-1	N gene	1125	2327	32644
Yale-RSV-0012-1	P gene	2331	3244	32235
Yale-RSV-0012-1	M gene	3254	4208	35604
Yale-RSV-0012-1	SH gene	4218	4630	32433
Yale-RSV-0012-1	G gene	4675	5600	4410
Yale-RSV-0012-1	F gene	5653	7552	57583
Yale-RSV-0012-1	M2 gene	7609	8568	52130
Yale-RSV-0012-1	L gene	8501	15080	32657
sample	name	start	end	depth
Yale-RSV-0013-1	NS1 gene	45	577	21778
Yale-RSV-0013-1	NS2 gene	594	1098	9152
Yale-RSV-0013-1	N gene	1125	2327	52825
Yale-RSV-0013-1	P gene	2331	3244	43725
Yale-RSV-0013-1	M gene	3254	4208	51758
Yale-RSV-0013-1	SH gene	4218	4630	50521
Yale-RSV-0013-1	G gene	4675	5600	9706
Yale-RSV-0013-1	F gene	5653	7552	78636
Yale-RSV-0013-1	M2 gene	7609	8568	67927
Yale-RSV-0013-1	L gene	8501	15080	47526
sample	name	start	end	depth
Yale-RSV-0014-1	NS1 gene	45	577	13763
Yale-RSV-0014-1	NS2 gene	594	1098	19218
Yale-RSV-0014-1	N gene	1125	2327	52396
Yale-RSV-0014-1	P gene	2331	3244	40489
Yale-RSV-0014-1	M gene	3254	4208	46196
Yale-RSV-0014-1	SH gene	4218	4630	41567
Yale-RSV-0014-1	G gene	4675	5600	49484
Yale-RSV-0014-1	F gene	5653	7552	67945
Yale-RSV-0014-1	M2 gene	7609	8568	54974
Yale-RSV-0014-1	L gene	8501	15080	64666
sample	name	start	end	depth
Yale-RSV-0015-1	NS1 gene	45	577	13824
Yale-RSV-0015-1	NS2 gene	594	1098	11436
Yale-RSV-0015-1	N gene	1125	2327	40629
